date,cases,deaths,daily_tests,lowest_temperature,highest_temperature,days_since_last_holiday,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-04-17,827.0,29.0,,,,,,,-0.003627569528415962,0.03448275862068965,-0.003627569528415962,0.0
2020-04-18,847.0,32.0,,,,,,,0.0059031877213695395,0.0,0.010625737898465172,-0.0625
2020-04-19,867.0,34.0,,,,,,,0.005767012687427913,-0.05882352941176471,0.014994232987312572,-0.029411764705882356
2020-04-20,875.0,35.0,,,,,,,0.0,0.0,0.013714285714285714,-0.028571428571428567
2020-04-21,888.0,36.0,,,,,,,0.0045045045045045045,-0.027777777777777776,0.009009009009009007,0.08333333333333333
2020-04-22,907.0,39.0,,,,,,,-0.0033076074972436605,-0.05128205128205128,0.009922822491730982,-0.05128205128205128
2020-04-23,937.0,44.0,,,,,,,0.0096051227321238,-0.09090909090909093,0.04909284951974386,-0.11363636363636365
2020-04-24,965.0,47.0,,,,,,,0.0,-0.02127659574468085,0.016580310880829015,-0.0425531914893617
2020-04-25,990.0,50.0,,,,,,,0.0040404040404040395,-0.04,0.00909090909090909,-0.04
2020-04-26,1015.0,50.0,,,,,,,0.007881773399014778,0.02,0.002955665024630542,0.0
2020-04-27,1023.0,51.0,,,,,,,0.011730205278592377,-0.0196078431372549,0.01759530791788856,0.0
2020-04-28,1040.0,51.0,,,,,,,0.003846153846153847,0.0784313725490196,-0.0019230769230769234,0.0
2020-04-29,1056.0,52.0,,,,,,,0.011363636363636364,0.0,0.02083333333333333,0.0
2020-04-30,1095.0,53.0,,,,,,,0.033789954337899546,-0.018867924528301886,0.01004566210045662,0.03773584905660377
2020-05-01,1123.0,55.0,,,,,,,0.01424755120213713,-0.01818181818181818,0.008904719501335706,-0.03636363636363636
2020-05-02,1152.0,56.0,,,,,,,0.004340277777777778,0.0,0.013888888888888888,0.0
2020-05-03,1185.0,57.0,,,,,,,-0.004219409282700422,-0.017543859649122806,0.005063291139240506,-0.017543859649122806
