date,cases,deaths,daily_tests,lowest_temperature,highest_temperature,days_since_last_holiday,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-05-03,6626.0,275.0,,,,,,,-0.0022638092363416844,-0.025454545454545452,0.041050407485662535,-0.029090909090909087
2020-05-04,6626.0,275.0,,,,,,,0.0,0.0,0.019015997585270148,0.04
2020-05-05,6757.0,283.0,,,,,,,0.02116323812342756,0.056537102473498226,-0.002515909427260618,0.0
2020-05-06,6936.0,305.0,,,,,,,-0.025807381776239903,-0.07213114754098361,-0.025807381776239903,-0.07213114754098361
2020-05-07,6936.0,305.0,,,,,,,0.037773933102652826,0.052459016393442616,0.01715686274509804,0.026229508196721308
2020-05-08,7142.0,316.0,,,,,,,0.0016802016241949033,-0.006329113924050633,0.03598431811817418,0.0031645569620253164
2020-05-09,7531.0,330.0,,,,,,,-0.0516531669101049,-0.042424242424242434,-0.01752755278183508,-0.02424242424242424
2020-05-10,7653.0,331.0,,,,,,,0.0375016333464001,-0.0030211480362537764,0.010322749248660655,0.027190332326283987
2020-05-11,7653.0,331.0,,,,,,,0.016464131713053703,0.033232628398791535,0.010714752384685744,0.015105740181268885
2020-05-12,7927.0,355.0,,,,,,,-0.0201841806484168,-0.04507042253521127,-0.004541440645893781,-0.05070422535211268
2020-05-13,7927.0,355.0,,,,,,,0.0,0.0,0.02611328371388924,0.056338028169014086
2020-05-14,8189.0,371.0,,,,,,,-0.017462449627549153,-0.0215633423180593,-0.011845158138966907,-0.03234501347708895
2020-05-15,8407.0,380.0,,,,,,,0.029142381348875937,0.007894736842105262,0.014868561912691803,0.010526315789473684
2020-05-16,8407.0,380.0,,,,,,,0.03056976329249435,0.015789473684210527,0.031283454264303553,0.010526315789473684
2020-05-17,8816.0,380.0,,,,,,,-0.0235934664246824,0.02631578947368421,0.006578947368421052,0.018421052631578942
2020-05-18,8942.0,391.0,,,,,,,-0.004920599418474614,-0.015345268542199487,0.018004920599418474,-0.01278772378516624
2020-05-19,9056.0,399.0,,,,,,,0.013692579505300355,-0.005012531328320803,0.016894876325088338,-0.017543859649122806
2020-05-20,9056.0,399.0,,,,,,,0.022857773851590102,0.05012531328320802,0.02606007067137809,0.04260651629072682
2020-05-21,9175.0,407.0,,,,,,,0.005013623978201635,-0.009828009828009828,0.02561307901907357,-0.002457002457002457
2020-05-22,9638.0,419.0,,,,,,,-0.01245071591616518,0.002386634844868735,-0.0015563394895206474,0.002386634844868735
2020-05-23,9895.0,425.0,,,,,,,0.000606366851945427,-0.004705882352941176,0.020818595250126328,0.002352941176470588
2020-05-24,10096.0,435.0,,,,,,,0.026347068145800318,-0.006896551724137931,0.01673930269413629,-0.020689655172413796
2020-05-25,10178.0,440.0,,,,,,,0.020141481627038712,0.002272727272727273,0.042444488111613284,0.013636363636363636
2020-05-26,10416.0,446.0,,,,,,,0.0027841781874039942,-0.011210762331838564,0.018241167434715818,0.011210762331838564
2020-05-27,10623.0,466.0,,,,,,,0.002729925633060341,-0.006437768240343348,0.030499858796950014,-0.027896995708154508
2020-05-28,10788.0,470.0,,,,,,,0.01751946607341491,0.006382978723404255,0.04792361883574342,0.01914893617021277
2020-05-29,11131.0,483.0,,,,,,,0.009433114724642887,0.0,0.03467792651154433,-0.016563146997929608
2020-05-30,11394.0,487.0,,,,,,,0.0175530981218185,0.006160164271047228,0.045813586097946286,0.004106776180698152
2020-05-31,11861.0,494.0,,,,,,,-0.00817806255796307,-0.012145748987854251,0.03144760138268274,-0.012145748987854251
2020-06-01,12148.0,500.0,,,,,,,0.018686203490286463,0.01,0.024366150806717158,-0.008
2020-06-02,12415.0,501.0,,,,,,,0.01296818364881192,0.019960079840319358,0.027788964961739833,0.007984031936127744
2020-06-03,12651.0,518.0,,,,,,,0.023318314757726662,-0.019305019305019305,0.02608489447474508,-0.013513513513513514
2020-06-04,13005.0,525.0,,,,,,,0.025221068819684736,0.011428571428571429,0.049058054594386766,-0.005714285714285714
2020-06-05,13453.0,538.0,,,,,,,0.02088753437894893,-0.01486988847583643,0.047201367724671074,0.00929368029739777
2020-06-06,13916.0,545.0,,,,,,,0.023138832997987926,-0.0018348623853211012,0.04972693302673182,-0.0036697247706422025
2020-06-07,14286.0,546.0,,,,,,,0.03289934201315973,0.0,0.037589248215035696,0.014652014652014654
2020-06-08,14800.0,557.0,,,,,,,0.004662162162162161,-0.01615798922800718,0.033378378378378384,-0.008976660682226212
2020-06-09,15228.0,568.0,,,,,,,0.012083004990806407,-0.01056338028169014,0.031783556606251644,0.00528169014084507
2020-06-10,15759.0,575.0,,,,,,,0.0022209531061615586,0.005217391304347826,0.0477822196839901,0.005217391304347826
2020-06-11,16441.0,588.0,,,,,,,0.01885530077245909,-0.015306122448979591,0.026944833039352842,-0.005102040816326529
2020-06-12,17170.0,593.0,,,,,,,0.02061735585323238,0.02192242833052277,0.03401281304601048,-0.0067453625632377745
2020-06-13,17955.0,599.0,,,,,,,0.020607073238652185,-0.001669449081803005,0.0456140350877193,0.018363939899833055
2020-06-14,18795.0,600.0,,,,,,,0.0035647778664538447,0.013333333333333334,0.028784251130619845,0.006666666666666667
2020-06-15,19378.0,602.0,,,,,,,0.02193208793477139,0.006644518272425249,0.03823924037568376,0.003322259136212625
2020-06-16,19990.0,607.0,,,,,,,0.015007503751875937,0.014827018121911038,0.05717858929464732,0.023064250411861616
2020-06-17,20556.0,617.0,,,,,,,0.03492897450865927,0.0,0.046409807355516634,0.02755267423014587
2020-06-18,21548.0,621.0,,,,,,,0.006172266567662892,0.00966183574879227,0.03666233525153147,0.02254428341384863
2020-06-19,22631.0,639.0,,,,,,,0.010163050682691882,-0.026604068857589983,0.03305200830718925,-0.014084507042253518
2020-06-20,23786.0,644.0,,,,,,,0.018876650130328763,0.018633540372670808,0.029387034389977293,0.023291925465838508
2020-06-21,24693.0,653.0,,,,,,,0.019195723484388288,-0.0061255742725880545,0.022435508038715427,-0.003062787136294028
2020-06-22,25701.0,659.0,,,,,,,0.012295241430294541,-0.0030349013657056147,0.020427220730710863,0.0015174506828528073
2020-06-23,26613.0,673.0,,,,,,,0.031676248450005634,0.007429420505200594,0.0022545372562281594,0.007429420505200594
2020-06-24,27897.0,683.0,,,,,,,0.008459691006201383,0.024890190336749638,0.00978599849446177,0.04099560761346999
