date,cases,deaths,daily_tests,lowest_temperature,highest_temperature,days_since_last_holiday,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-10-18,7462.0,241.0,,,,,,,-0.005762530152774056,-0.02074688796680498,0.0009380863039399625,-0.008298755186721992
2020-10-19,7622.0,247.0,,,,,,,0.025583836263447915,-0.020242914979757085,0.009183941222776174,-0.016194331983805668
2020-10-20,7829.0,248.0,,,,,,,0.007152893089794355,0.004032258064516129,-0.0017882232724485887,0.008064516129032258
2020-10-21,8049.0,251.0,,,,,,,0.0008696732513355696,-0.00796812749003984,0.0160268356317555,-0.00398406374501992
2020-10-22,8338.0,255.0,,,,,,,-0.010314224034540657,0.0,-0.006356440393379707,0.00392156862745098
2020-10-23,8582.0,260.0,,,,,,,-0.005709624796084829,-0.019230769230769232,0.005243532975996271,-0.007692307692307693
2020-10-24,8829.0,265.0,,,,,,,0.004757050628610262,-0.0037735849056603774,-0.014271151885830785,-0.01509433962264151
2020-10-25,9026.0,267.0,,,,,,,0.005539552404165743,0.011235955056179775,-0.009417239087081765,0.003745318352059925
2020-10-26,9381.0,268.0,,,,,,,-0.013324805457840316,0.0037313432835820895,-0.027395800021319687,0.011194029850746268
2020-10-27,9644.0,270.0,,,,,,,-0.007258399004562422,0.003703703703703704,-0.0016590626296142678,-0.003703703703703704
2020-10-28,9871.0,271.0,,,,,,,0.012359436733866884,0.0036900369003690036,-0.009218924121163003,-0.0036900369003690036
2020-10-29,10074.0,275.0,,,,,,,0.003275759380583681,0.0036363636363636364,-0.006551518761167362,0.0
2020-10-30,10269.0,275.0,,,,,,,0.00915376375499075,0.01090909090909091,-0.008861622358554875,0.01090909090909091
2020-10-31,10558.0,279.0,,,,,,,-0.015912104565258572,-0.010752688172043012,-0.011176359158931616,-0.007168458781362007
2020-11-01,10805.0,284.0,,,,,,,-0.012494215640906987,-0.007042253521126761,-0.00934752429430819,0.0
2020-11-02,11035.0,286.0,,,,,,,-0.011961939284096059,0.006993006993006993,-0.013864975079293159,-0.006993006993006993
2020-11-03,11228.0,289.0,,,,,,,0.004809405058781618,-0.006920415224913495,-0.002582828642679017,-0.0034602076124567475
2020-11-04,11577.0,291.0,,,,,,,-0.018398548846851517,-0.006872852233676976,-0.012611211885635312,0.006872852233676976
2020-11-05,11813.0,296.0,,,,,,,-0.00838059764666046,-0.0033783783783783786,-0.011174130195547279,-0.0033783783783783786
2020-11-06,12102.0,299.0,,,,,,,-0.015286729466203934,0.0,-0.006362584696744339,-0.006688963210702341
2020-11-07,12223.0,300.0,,,,,,,0.004090648776896016,0.0033333333333333335,0.0009817557064550437,0.0
2020-11-08,12335.0,303.0,,,,,,,0.0027563842723956223,0.006600660066006601,0.0027563842723956223,-0.0033003300330033004
2020-11-09,12433.0,307.0,,,,,,,-0.0016890533258264297,-0.013029315960912053,-0.0014477599935655112,-0.009771986970684038
2020-11-10,12680.0,308.0,,,,,,,-0.006545741324921136,0.003246753246753247,-0.008359621451104101,-0.003246753246753247
2020-11-11,12816.0,308.0,,,,,,,0.005227840199750312,0.012987012987012988,-0.002184769038701623,0.003246753246753247
2020-11-12,12953.0,312.0,,,,,,,-0.0025476723538948504,0.0,-0.004477727167451556,-0.00641025641025641
2020-11-13,13057.0,315.0,,,,,,,0.008271425289116948,-0.006349206349206349,-0.00038293635597763654,-0.006349206349206349
2020-11-14,13228.0,317.0,,,,,,,-0.0028726942848503177,-0.0031545741324921135,-0.0062745690958572724,-0.0031545741324921135
2020-11-15,13374.0,322.0,,,,,,,0.0,-0.009316770186335404,-0.005009720352923583,-0.006211180124223602
2020-11-16,13451.0,322.0,,,,,,,0.00022303174485168388,0.003105590062111801,-0.004534978811984239,0.003105590062111801
2020-11-17,13615.0,324.0,,,,,,,-0.0016893132574366508,-0.006172839506172839,-0.009401395519647448,0.0
2020-11-18,13818.0,328.0,,,,,,,-0.006875090461716602,-0.009146341463414634,-0.006585612968591692,-0.006097560975609756
2020-11-19,13922.0,332.0,,,,,,,-0.0017957190058899583,-0.006024096385542169,-0.00258583536848154,-0.009036144578313253
2020-11-20,14134.0,333.0,,,,,,,-0.007994905900665063,0.0,-0.012027734540823546,0.0
2020-11-21,14267.0,334.0,,,,,,,-0.0031541319128057755,0.0,-7.009182028457279e-05,0.0
2020-11-22,14413.0,336.0,,,,,,,-0.004648581142024561,0.002976190476190476,-0.007146326233261639,-0.002976190476190476
2020-11-23,14493.0,337.0,,,,,,,-0.004415924929276202,0.0,-0.005519906161595253,-0.002967359050445104
2020-11-24,14634.0,337.0,,,,,,,-0.007175071750717507,0.005934718100890208,-0.001981686483531502,0
2020-11-25,14742.0,338.0,,,,,,,0.000271333604666938,0.0029585798816568047,-0.0018315018315018315,0.0
2020-11-26,14821.0,340.0,,,,,,,-0.0007421901356183794,-0.0029411764705882353,-0.00026988732204304703,0.0029411764705882353
2020-11-27,14920.0,341.0,,,,,,,-0.0038203753351206435,0.0,0.0014745308310991957,0.008797653958944282
2020-11-28,15008.0,342.0,,,,,,,0.002931769722814499,0.0,0.0031982942430703624,0.005847953216374269
2020-11-29,15087.0,345.0,,,,,,,-0.0023861602704314975,-0.005797101449275362,0.0013919268244183733,-0.005797101449275362
2020-11-30,15103.0,346.0,,,,,,,-0.0010593921737403166,-0.002890173410404624,0.0007283321194464676,0.011560693641618497
2020-12-01,15139.0,348.0,,,,,,,0.00502014664112557,-0.005747126436781609,0.0035008917365744103,-0.0028735632183908046
2020-12-02,15251.0,350.0,,,,,,,-0.002032653596485476,-0.002857142857142857,-0.0017703757130679955,-0.005714285714285714
2020-12-03,15319.0,351.0,,,,,,,0.0004569488870030681,0.005698005698005698,-0.0015014034858672237,0.017094017094017096
2020-12-04,15361.0,352.0,,,,,,,0.005142894342816223,0.008522727272727272,0.002278497493652757,0.005681818181818182
2020-12-05,15493.0,353.0,,,,,,,0.00025818111405150713,0.0056657223796034,-0.003485445039695346,0.0028328611898017
2020-12-06,15536.0,354.0,,,,,,,0.003668898043254377,0.0,0.0013516992790937178,0.002824858757062147
2020-12-07,15536.0,354.0,,,,,,,0.0017378990731204942,0.014124293785310734,0.0011585993820803296,0.002824858757062147
2020-12-08,15648.0,354.0,,,,,,,-0.001469836400817996,0.002824858757062147,-0.004473415132924335,0.00847457627118644
2020-12-09,15729.0,355.0,,,,,,,0.000254307330408799,-0.0028169014084507044,0.0022251891410769915,0.005633802816901409
2020-12-10,15804.0,358.0,,,,,,,-0.0018982536066818527,0.0111731843575419,0.003416856492027335,-0.00558659217877095
2020-12-11,15925.0,362.0,,,,,,,-0.0027629513343799057,-0.0027624309392265192,-0.001444270015698587,-0.008287292817679558
2020-12-12,16061.0,365.0,,,,,,,-0.0036112321773239526,-0.0027397260273972603,-0.00410933316729967,-0.005479452054794521
2020-12-13,16161.0,366.0,,,,,,,-0.0022275849266753297,0.00273224043715847,-0.0030938679537157354,0.00546448087431694
2020-12-14,16188.0,371.0,,,,,,,-0.0005559673832468495,-0.01078167115902965,0.003953545836422041,-0.013477088948787063
2020-12-15,16277.0,372.0,,,,,,,-0.0028875099834121767,0.005376344086021506,-0.005467838053695398,-0.002688172043010753
2020-12-16,16362.0,372.0,,,,,,,0.001894633907835228,0.008064516129032258,0.002811392250336145,0
2020-12-17,16407.0,379.0,,,,,,,0.005119765953556409,-0.0158311345646438,-0.0027427317608337905,-0.018469656992084433
2020-12-18,16484.0,382.0,,,,,,,0.0012739626304295074,-0.005235602094240838,0.006369813152147537,0.007853403141361256
2020-12-19,16562.0,384.0,,,,,,,-0.0004830334500664171,-0.0026041666666666665,-0.004709576138147566,-0.005208333333333333
2020-12-20,16626.0,386.0,,,,,,,-0.0008420546132563455,0.0025906735751295338,-0.0005413208228076507,0.0
2020-12-21,16644.0,387.0,,,,,,,0.0043859649122807015,-0.002583979328165375,0.0009613073780341264,0.0
2020-12-22,16686.0,390.0,,,,,,,-0.0025170801869830997,-0.007692307692307693,0.0,-0.007692307692307693
2020-12-23,16802.0,393.0,,,,,,,0.0008927508629925009,-0.007633587786259542,-0.0069039400071420065,-0.007633587786259542
2020-12-24,16931.0,394.0,,,,,,,-0.007619160120489044,-0.0025380710659898475,0.003012226094146831,0.01015228426395939
2020-12-25,17029.0,395.0,,,,,,,0.004932761759351694,0.012658227848101266,0.0007046802513359563,-0.002531645569620253
2020-12-26,17099.0,396.0,,,,,,,-0.004093806655359963,-0.0025252525252525255,0.001286624948827417,0.0025252525252525255
2020-12-27,17149.0,399.0,,,,,,,0.0002915621902151729,-0.002506265664160401,0.0023324975217213833,-0.005012531328320802
2020-12-28,17240.0,399.0,,,,,,,-0.0033062645011600928,0.002506265664160401,-0.0031322505800464038,0
2020-12-29,17240.0,399.0,,,,,,,0.0024361948955916473,0,0.0035382830626450117,0.010025062656641603
2020-12-30,17371.0,399.0,,,,,,,-0.007541304472972195,0,-0.00241782280812849,0.005012531328320802
2020-12-31,17371.0,399.0,,,,,,,0.0103620977491221,0.012531328320802004,0.00472051119682229,0.005012531328320802
2021-01-01,17553.0,405.0,,,,,,,-0.0041018629294137755,-0.014814814814814815,0.0003418219107844813,-0.012345679012345678
2021-01-02,17553.0,405.0,,,,,,,0.00524126929869538,0.0049382716049382715,0,0
2021-01-03,17608.0,407.0,,,,,,,0.001987732848705134,-0.002457002457002457,0.005508859609268515,0.009828009828009828
2021-01-04,17642.0,408.0,,,,,,,0.0001700487473075615,-0.0024509803921568627,0.004307901598458225,0.00980392156862745
2021-01-05,17684.0,408.0,,,,,,,0.0010744175525899118,0.00980392156862745,0.0005089346301741688,0.007352941176470588
2021-01-06,17684.0,408.0,,,,,,,0.005032798009500113,0.004901960784313725,0.004806604840533816,0.007352941176470588
2021-01-07,17864.0,413.0,,,,,,,-0.0054858934169279,-0.007263922518159807,-0.0054858934169279,-0.007263922518159807
