date,cases,deaths,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-04-09,22.0,3.0,0.5,0,0.2727272727272727,0
2020-04-10,27.0,3.0,-0.18518518518518517,0,0.25925925925925924,0
2020-04-11,28.0,3.0,0.2857142857142857,0.3333333333333333,0.14285714285714285,0
2020-04-12,38.0,3.0,0.07894736842105263,0,-0.21052631578947367,0
2020-04-13,41.0,4.0,0.024390243902439025,-0.25,-0.07317073170731707,-0.25
2020-04-14,62.0,4.0,-0.20967741935483872,0,-0.3387096774193548,0
2020-04-15,74.0,4.0,-0.13513513513513514,0,-0.10810810810810811,0
2020-04-16,85.0,4.0,-0.058823529411764705,0,-0.12941176470588237,0.25
2020-04-17,85.0,4.0,0.1411764705882353,0,0.011764705882352941,0
2020-04-18,94.0,5.0,-0.0425531914893617,-0.2,-0.09574468085106383,-0.2
2020-04-19,107.0,5.0,-0.102803738317757,0,-0.12149532710280374,0
2020-04-20,111.0,5.0,-0.036036036036036036,0,0.0,0
2020-04-21,119.0,5.0,-0.06722689075630252,0,-0.01680672268907563,0
2020-04-22,121.0,5.0,0.01652892561983471,0,-0.01652892561983471,0
2020-04-23,127.0,5.0,-0.047244094488188976,0.2,-0.03937007874015748,0
2020-04-24,139.0,5.0,-0.07913669064748201,0,0.014388489208633094,0
2020-04-25,144.0,5.0,-0.034722222222222224,0,-0.027777777777777776,0
2020-04-26,146.0,5.0,-0.0136986301369863,0,-0.00684931506849315,0
2020-04-27,146.0,5.0,0.0273972602739726,0,0.0136986301369863,0
2020-04-28,146.0,5.0,0.0410958904109589,0,0,0
2020-04-29,150.0,5.0,-0.02666666666666667,0,-0.02666666666666667,0
2020-04-30,150.0,6.0,0.006666666666666667,-0.16666666666666666,0.006666666666666667,-0.16666666666666666
2020-05-01,151.0,6.0,0.08609271523178808,0,-0.006622516556291391,0
2020-05-02,151.0,6.0,0.006622516556291391,0,0.006622516556291391,0
2020-05-03,151.0,6.0,0.006622516556291391,0,0,0
2020-05-04,155.0,6.0,-0.012903225806451613,0,0.0064516129032258064,0
2020-05-05,161.0,6.0,-0.037267080745341616,0,-0.012422360248447204,0
2020-05-06,161.0,6.0,0,0,0.012422360248447204,0
2020-05-07,162.0,6.0,0.0,0,0.030864197530864196,0
2020-05-08,176.0,6.0,-0.07954545454545454,0,-0.07954545454545454,0
2020-05-09,177.0,6.0,0.0,0,0.005649717514124294,0
2020-05-10,178.0,6.0,-0.0056179775280898875,0,-0.0056179775280898875,0
2020-05-11,180.0,6.0,0.016666666666666666,0,-0.011111111111111112,0
2020-05-12,180.0,6.0,0.022222222222222223,0,0.011111111111111112,0
2020-05-13,180.0,6.0,0.011111111111111112,0,0.016666666666666666,0
2020-05-14,181.0,6.0,0.027624309392265192,0,-0.0055248618784530384,0
2020-05-15,181.0,6.0,0,0,0,0
2020-05-16,182.0,6.0,0.005494505494505495,0,0.0,0
2020-05-17,182.0,6.0,0,0,0.09340659340659341,0
2020-05-18,187.0,6.0,-0.026737967914438502,0,-0.026737967914438502,0
2020-05-19,191.0,6.0,-0.010471204188481676,0,0.0,0
2020-05-20,193.0,6.0,0.0051813471502590676,0,0.015544041450777202,0
2020-05-21,199.0,6.0,-0.03015075376884422,0,-0.02512562814070352,0
2020-05-22,199.0,6.0,0,0,0.010050251256281407,0
2020-05-23,201.0,6.0,-0.004975124378109453,0,-0.009950248756218905,0
2020-05-24,201.0,6.0,0.0845771144278607,0,0.01990049751243781,0
2020-05-25,201.0,6.0,0,0,0.009950248756218905,0
2020-05-26,203.0,6.0,0.009852216748768473,0,0.0,0
2020-05-27,206.0,6.0,0.009708737864077669,0,-0.0048543689320388345,0
2020-05-28,206.0,6.0,0.0048543689320388345,0,0.009708737864077669,0
2020-05-29,206.0,6.0,0.009708737864077669,0,0.06310679611650485,0
2020-05-30,207.0,6.0,-0.004830917874396135,0,-0.004830917874396135,0
2020-05-31,224.0,6.0,-0.05803571428571429,0,-0.07589285714285714,0
2020-06-01,224.0,6.0,0.008928571428571428,0,0.004464285714285714,0
2020-06-02,228.0,6.0,-0.008771929824561403,0,-0.017543859649122806,0
2020-06-03,233.0,6.0,-0.012875536480686695,0,-0.02145922746781116,0
2020-06-04,234.0,6.0,0.004273504273504274,0,0.0,0
2020-06-05,236.0,6.0,0.046610169491525424,0,0.08898305084745763,0
2020-06-06,236.0,6.0,0,0,0,0
2020-06-07,240.0,6.0,-0.016666666666666666,0,-0.016666666666666666,0
2020-06-08,242.0,6.0,-0.004132231404958678,0,0.008264462809917356,0
2020-06-09,244.0,6.0,-0.00819672131147541,0,-0.004098360655737705,0
2020-06-10,246.0,6.0,-0.008130081300813009,0,-0.0040650406504065045,0
2020-06-11,248.0,6.0,-0.004032258064516129,0,-0.004032258064516129,0
2020-06-12,261.0,6.0,0.038314176245210725,0,-0.04980842911877394,0
2020-06-13,261.0,6.0,0,0,0,0
2020-06-14,261.0,6.0,0,0,0.011494252873563218,0
2020-06-15,262.0,6.0,0.011450381679389313,0,0.007633587786259542,0
2020-06-16,262.0,6.0,0.003816793893129771,0,0,0
2020-06-17,262.0,6.0,0.003816793893129771,0,0,0
2020-06-18,263.0,6.0,0.0,0,0.015209125475285171,0
2020-06-19,286.0,6.0,-0.08041958041958042,0,-0.08041958041958042,0
2020-06-20,286.0,6.0,0,0,0.006993006993006993,0
2020-06-21,286.0,6.0,0.01048951048951049,0,0.024475524475524476,0
2020-06-22,290.0,6.0,-0.0034482758620689655,0,-0.013793103448275862,0
2020-06-23,291.0,6.0,-0.003436426116838488,0,0.006872852233676976,0
2020-06-24,292.0,6.0,-0.003424657534246575,0,-0.003424657534246575,0
2020-06-25,293.0,6.0,0.013651877133105802,0,0.0034129692832764505,0
2020-06-26,293.0,6.0,0,0,0.010238907849829351,0
2020-06-27,293.0,6.0,0.006825938566552901,0,0.017064846416382253,0
2020-06-28,296.0,6.0,0.013513513513513514,0,0.0033783783783783786,0
2020-06-29,299.0,6.0,-0.010033444816053512,0,-0.006688963210702341,0
2020-06-30,299.0,6.0,0.010033444816053512,0,0.016722408026755852,0
2020-07-01,299.0,6.0,0,0,0.0033444816053511705,0
2020-07-02,304.0,6.0,-0.009868421052631578,0,-0.01644736842105263,0
2020-07-03,304.0,6.0,0.009868421052631578,0,0.006578947368421052,0
2020-07-04,306.0,6.0,0.00980392156862745,0,-0.006535947712418301,0
2020-07-05,313.0,6.0,-0.009584664536741214,0,-0.01597444089456869,0
2020-07-06,313.0,6.0,0.003194888178913738,0,0,0
2020-07-07,316.0,6.0,0.006329113924050633,0,-0.00949367088607595,0
2020-07-08,316.0,6.0,0.0031645569620253164,0,0,0
2020-07-09,318.0,6.0,-0.006289308176100629,0,0.0,0
2020-07-10,321.0,6.0,-0.003115264797507788,0,-0.009345794392523364,0
2020-07-11,326.0,6.0,-0.015337423312883436,0,-0.006134969325153374,0
2020-07-12,330.0,6.0,-0.006060606060606061,0,-0.0030303030303030303,0
2020-07-13,331.0,6.0,-0.0030211480362537764,0,0.0,0
2020-07-14,336.0,6.0,-0.01488095238095238,0,-0.01488095238095238,0
2020-07-15,337.0,6.0,-0.002967359050445104,0,0.0,0
2020-07-16,337.0,6.0,0.005934718100890208,0,0.005934718100890208,0
2020-07-17,339.0,6.0,-0.0058997050147492625,0,-0.0058997050147492625,0
2020-07-18,339.0,6.0,0.008849557522123894,0,0,0
2020-07-19,341.0,6.0,0.002932551319648094,0,-0.005865102639296188,0
2020-07-20,341.0,6.0,0.002932551319648094,0,0,0
2020-07-21,341.0,6.0,0,0,0.005865102639296188,0
2020-07-22,341.0,6.0,0.002932551319648094,0,0.002932551319648094,0
2020-07-23,343.0,6.0,0.0,0,-0.0029154518950437317,0
2020-07-24,343.0,6.0,0,0,0.0058309037900874635,0
2020-07-25,346.0,6.0,-0.008670520231213872,0,-0.008670520231213872,0
2020-07-26,349.0,6.0,-0.008595988538681949,0,-0.008595988538681949,0
2020-07-27,350.0,6.0,-0.002857142857142857,0,0.0,0
2020-07-28,350.0,6.0,0.005714285714285714,0,0,0
2020-07-29,351.0,6.0,0.0,0,-0.002849002849002849,0
2020-07-30,353.0,6.0,-0.0028328611898017,0,-0.0028328611898017,0
2020-07-31,353.0,6.0,0.0056657223796034,0,0,0
2020-08-01,353.0,6.0,0,0,0.0226628895184136,0
2020-08-02,353.0,6.0,0,0,0.014164305949008499,0
2020-08-03,353.0,6.0,0.0028328611898017,0,0.0028328611898017,0
2020-08-04,355.0,6.0,-0.005633802816901409,0,-0.005633802816901409,0
2020-08-05,356.0,6.0,-0.0028089887640449437,0,0.008426966292134831,0
2020-08-06,357.0,6.0,0.0,0,0.04481792717086835,0
2020-08-07,359.0,6.0,-0.005571030640668524,0,0.03064066852367688,0
2020-08-08,359.0,6.0,0.022284122562674095,0,0.07242339832869081,0
2020-08-09,359.0,6.0,0.013927576601671309,0,0.025069637883008356,0
2020-08-10,360.0,6.0,0.0,0,0.05,0
2020-08-11,360.0,6.0,0,0,0.030555555555555555,0
2020-08-12,360.0,6.0,0.011111111111111112,0,0.08333333333333333,0
2020-08-13,361.0,6.0,0.0443213296398892,0,0.2077562326869806,0
2020-08-14,361.0,6.0,0.036011080332409975,0,0.1329639889196676,0
2020-08-15,369.0,6.0,0.04878048780487805,0,0.05420054200542006,0
2020-08-16,374.0,6.0,0.0106951871657754,0,0.23529411764705882,0
2020-08-17,375.0,6.0,0.048,0,0.06666666666666667,0
2020-08-18,375.0,6.0,0.029333333333333333,0,0.2986666666666667,0
2020-08-19,379.0,6.0,0.06860158311345646,0,0.12401055408970976,0
2020-08-20,396.0,6.0,0.14898989898989898,0,0.2601010101010101,0
2020-08-21,409.0,6.0,0.08557457212713937,0,0.15158924205378974,0.16666666666666666
2020-08-22,435.0,6.0,0.004597701149425287,0,0.1310344827586207,0
2020-08-23,444.0,6.0,0.1891891891891892,0,0.21171171171171171,0.16666666666666666
2020-08-24,463.0,6.0,0.01511879049676026,0,0.27213822894168466,0
2020-08-25,474.0,6.0,0.21308016877637131,0,0.2848101265822785,0
2020-08-26,504.0,6.0,0.041666666666666664,0,0.33134920634920634,0.6666666666666666
2020-08-27,580.0,6.0,0.07586206896551724,0,0.21724137931034482,0.3333333333333333
2020-08-28,628.0,6.0,0.042993630573248405,0.16666666666666666,0.33121019108280253,0
2020-08-29,656.0,6.0,0.08384146341463415,0,0.23170731707317074,0
2020-08-30,749.0,6.0,0.01335113484646195,0.16666666666666666,0.3444592790387183,0.3333333333333333
2020-08-31,775.0,6.0,0.15354838709677418,0,0.24903225806451612,1
2020-09-01,887.0,6.0,0.038331454340473504,0,0.1939120631341601,1
2020-09-02,938.0,6.0,0.15565031982942432,0.6666666666666666,0.3049040511727079,1
2020-09-03,1058.0,6.0,0.07750472589792061,0.3333333333333333,0.13043478260869565,1
2020-09-04,1133.0,7.0,0.15975286849073256,-0.14285714285714285,0.2912621359223301,1
2020-09-05,1216.0,7.0,0.07976973684210527,0,0.19654605263157895,1
2020-09-06,1319.0,8.0,0.18802122820318423,0.125,0.4086429112964367,0.625
2020-09-07,1464.0,8.0,0.050546448087431695,1.0,0.27117486338797814,1
2020-09-08,1610.0,8.0,0.08571428571428572,1.0,0.32298136645962733,0.75
2020-09-09,1807.0,12.0,0.0774764803541782,0.25,0.16104039845047038,1.0
2020-09-10,2009.0,14.0,0.027874564459930314,0.35714285714285715,0.33150821304131406,0.8571428571428571
2020-09-11,2265.0,14.0,0.06578366445916115,1,0.19072847682119207,1
2020-09-12,2445.0,14.0,0.05807770961145194,1.0,0.1705521472392638,1
2020-09-13,2796.0,16.0,0.10407725321888411,0.25,0.1888412017167382,1
2020-09-14,3015.0,24.0,0.10713101160862355,0.20833333333333334,0.17379767827529022,0.8333333333333334
2020-09-15,3299.0,32.0,0.11579266444377084,-0.0625,0.1858138829948469,0.6875
2020-09-16,3636.0,39.0,0.04152915291529153,0.23076923076923078,0.1256875687568757,0.5384615384615384
2020-09-17,3894.0,46.0,0.1566512583461736,0.15217391304347827,0.17719568567026195,0.41304347826086957
2020-09-18,4299.0,61.0,0.06582926261921378,0.16393442622950818,0.14073040241916726,-0.06557377049180328
2020-09-19,4621.0,75.0,0.05951092837048258,0.06666666666666667,0.1774507682319844,0.24
2020-09-20,5263.0,81.0,0.045031350940528216,0.2222222222222222,0.06384191525745772,0.14814814814814814
2020-09-21,5805.0,94.0,0.03462532299741602,0.1595744680851064,0.12902670111972436,0.2978723404255319
2020-09-22,6471.0,100.0,0.03569772832637923,0.24,0.04960593416782568,0.26
2020-09-23,6959.0,116.0,0.04397183503376922,0.10344827586206896,0.10978588877712316,0.09482758620689655
2020-09-24,7827.0,130.0,0.010221029768749201,0.09230769230769231,0.0679698479621822,0.19230769230769232
2020-09-25,8515.0,155.0,0.037815619495008806,-0.09032258064516129,0.03805049911920141,0.0
