date,cases,deaths,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-03-28,1232.0,31.0,,,0.2150974025974026,0.22580645161290322,0.22483766233766234,0.7419354838709677
2020-03-29,1514.0,32.0,,,0.11624834874504623,0.3125,0.13936591809775428,0.375
2020-03-30,1786.0,35.0,,,0.14613661814109744,0.2571428571428571,0.020156774916013438,0.11428571428571428
2020-03-31,2159.0,49.0,,,0.08800370541917554,0.40816326530612246,-0.03798054654932839,0.4897959183673469
2020-04-01,2565.0,65.0,,,0.011695906432748537,0.2153846153846154,0.008576998050682261,0.49230769230769234
2020-04-02,3039.0,78.0,,,-0.02171767028627838,0.3717948717948718,0.03718328397499177,0.358974358974359
2020-04-03,3437.0,102.0,,,0.04597032295606634,0.30392156862745096,0.0622636019784696,0.17647058823529413
2020-04-04,3953.0,116.0,,,0.0030356691120667846,0.13793103448275862,-0.007336200354161397,0.10344827586206896
2020-04-05,4411.0,127.0,,,0.00793470868283836,0.015748031496062992,0.025164361822715937,0.047244094488188976
2020-04-06,4944.0,139.0,,,-0.04550970873786408,-0.03597122302158273,-0.011529126213592233,-0.03597122302158273
2020-04-07,5507.0,173.0,,,-0.049391683312148174,0.023121387283236993,-0.027601234792082804,0.15606936416184972
2020-04-08,5943.0,203.0,,,-0.0013461214874642437,0.08866995073891626,-0.015985192663637893,0.0049261083743842365
2020-04-09,6351.0,245.0,,,0.028184537868052275,-0.004081632653061225,0.030388915131475357,0.012244897959183673
2020-04-10,6907.0,300.0,,,0.008107716809034313,-0.043333333333333335,0.012306355870855653,-0.06666666666666667
2020-04-11,7435.0,330.0,,,-0.0055144586415601885,-0.012121212121212121,0.025151311365164762,0.04242424242424243
2020-04-12,7928.0,343.0,,,0.00958627648839556,0.011661807580174927,0.01564076690211907,0.043731778425655975
2020-04-13,8236.0,350.0,,,0.020398251578436135,0.0,0.07782904322486645,0.06857142857142857
2020-04-14,8527.0,388.0,,,0.014072944763691803,0.059278350515463915,0.03940424533833705,0.04896907216494845
2020-04-15,8955.0,436.0,,,-0.009715242881072027,-0.0389908256880734,0.01853713009491904,0.26605504587155965
2020-04-16,9542.0,477.0,,,0.001467197652483756,0.008385744234800839,0.006916788933137707,0.016771488469601678
2020-04-17,10154.0,519.0,,,0.002856017333070711,-0.01348747591522158,0.018022454205239315,0.036608863198458574
2020-04-18,10641.0,545.0,,,0.021426557654355794,0.03302752293577982,0.016727751151207594,0.05137614678899083
2020-04-19,11210.0,562.0,,,0.004281891168599465,0.019572953736654804,0.006155218554861731,0.0
2020-04-20,11686.0,569.0,,,0.040475782988190996,0.0421792618629174,0.008386103029265788,0.019332161687170474
2020-04-21,12097.0,630.0,,,0.017855666694221707,-0.006349206349206349,0.009506489212201373,0.0015873015873015873
2020-04-22,12438.0,661.0,,,0.02034089081845956,0.20121028744326777,0.039877793857533365,0.030257186081694403
2020-04-23,13039.0,706.0,,,0.003988035892323031,0.0056657223796034,0.0024541759337372497,-0.0113314447592068
2020-04-24,13680.0,741.0,,,0.011257309941520468,0.03508771929824561,0.00014619883040935673,-0.002699055330634278
2020-04-25,14395.0,785.0,,,-0.0034734282737061478,0.012738853503184714,-0.008961444946161861,-0.0012738853503184713
2020-04-26,15012.0,813.0,,,0.001398880895283773,-0.013530135301353014,-0.014854782840394352,-0.012300123001230012
2020-04-27,15961.0,844.0,,,-0.023494768498214396,-0.015402843601895734,-0.0280684167658668,0.001184834123222749
2020-04-28,16588.0,901.0,,,-0.006088738847359537,0.005549389567147614,-0.007656136966481794,-0.021087680355160933
2020-04-29,17182.0,1065.0,,,0.014142707484576883,-0.10610328638497653,-0.01443370969619369,-0.11549295774647887
2020-04-30,17835.0,1114.0,,,-0.00112139052425007,-0.010771992818671455,-0.004093075413512756,-0.019748653500897665
