date,cases,deaths,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-09-10,2727.0,19.0,0.03557022368903557,0,0.10451045104510451,0.10526315789473684
2020-09-11,2807.0,20.0,0.0708941930887068,-0.05,0.16708229426433915,0.0
2020-09-12,3013.0,21.0,0.0023232658479920344,0.09523809523809523,0.13740458015267176,0.09523809523809523
2020-09-13,3130.0,22.0,0.02523961661341853,0.0,0.234185303514377,0.13636363636363635
2020-09-14,3382.0,24.0,-0.00384387936132466,-0.08333333333333333,0.05292726197516263,0.0
2020-09-15,3596.0,26.0,0.014460511679644048,0.0,0.1446051167964405,0.15384615384615385
2020-09-16,3745.0,26.0,0.1295060080106809,0.038461538461538464,0.17997329773030707,0.23076923076923078
2020-09-17,3920.0,26.0,0.04795918367346939,0.07692307692307693,0.40841836734693876,0.15384615384615385
2020-09-18,4199.0,26.0,0.06430102405334603,0.038461538461538464,0.2374374851155037,0.3076923076923077
2020-09-19,4412.0,29.0,0.09224841341795104,0.0,0.07615593834995467,0.2413793103448276
2020-09-20,4608.0,30.0,0.14192708333333334,0.1,0.19596354166666666,0.26666666666666666
2020-09-21,4847.0,30.0,0.03961213121518465,0.06666666666666667,0.13451619558489789,0.43333333333333335
2020-09-22,5113.0,32.0,0.09153139057304908,0.125,0.30471347545472327,0.21875
2020-09-23,5747.0,33.0,0.03288672350791717,0.15151515151515152,0.15712545676004872,0.3333333333333333
2020-09-24,6110.0,35.0,0.23126022913256955,0.05714285714285714,0.13682487725040918,0.2
2020-09-25,6659.0,36.0,0.10917555188466736,0.19444444444444445,0.11533263252740651,0.3333333333333333
2020-09-26,7279.0,39.0,-0.009754087099876357,0.1794871794871795,0.08600082428905069,0.48717948717948717
2020-09-27,8129.0,43.0,0.030631073932833066,0.11627906976744186,0.04736129905277402,0.2558139534883721
2020-09-28,8560.0,45.0,0.053738317757009345,0.24444444444444444,0.058060747663551404,0.17777777777777778
2020-09-29,9294.0,51.0,0.11727996556918442,0.058823529411764705,0.044437271357865286,0.19607843137254902
2020-09-30,10117.0,57.0,0.07057428091331422,0.10526315789473684,0.12167638628051794,0.21052631578947367
2020-10-01,11893.0,61.0,-0.048515933742537626,0.08196721311475409,0.05440174892794081,0.45901639344262296
2020-10-02,13169.0,69.0,0.0031133723137671803,0.07246376811594203,0.08983218163869694,0.2463768115942029
2020-10-03,13718.0,79.0,0.05080915585362298,0.1518987341772152,0.07216795451231958,0.22784810126582278
2020-10-04,14817.0,88.0,0.00917864614969292,0.06818181818181818,0.0274009583586421,0.125
2020-10-05,15708.0,101.0,0.0023554876496052965,-0.0297029702970297,0.04004329004329004,0.019801980198019802
2020-10-06,17532.0,110.0,-0.03861510381017568,0.06363636363636363,-0.02623773671001597,0.23636363636363636
2020-10-07,19069.0,122.0,0.0271120667051235,0.04918032786885246,0.026115685143426503,0.18032786885245902
2020-10-08,20268.0,131.0,0.06039076376554174,0.17557251908396945,0.06813696467337675,0.15267175572519084
2020-10-09,21585.0,144.0,0.05290711141996757,0.08333333333333333,0.06967801714153347,0.1736111111111111
2020-10-10,22831.0,166.0,0.012833428233542114,0.03614457831325301,0.05444351977574351,0.030120481927710843
2020-10-11,24066.0,181.0,0.011219147344801795,0.027624309392265192,0.024308152580403888,0.09392265193370165
2020-10-12,24994.0,191.0,0.023685684564295432,0.02617801047120419,0.056373529647115304,0.1518324607329843
2020-10-13,26141.0,207.0,0.008301136146283616,0.09178743961352658,0.0314066026548334,0.14009661835748793
2020-10-14,28195.0,225.0,-0.0006738783472246852,0.07111111111111111,0.06192587338180528,0.11555555555555555
2020-10-15,30618.0,257.0,0.005127702658566856,-0.011673151750972763,0.021686589587824157,0.0
2020-10-16,33077.0,282.0,0.01094416059497536,0.04609929078014184,0.02974876802612087,0.05319148936170213
2020-10-17,34616.0,310.0,0.027443956551883524,-0.0032258064516129032,0.06881211000693321,0.012903225806451613
2020-10-18,36121.0,330.0,0.008720688795991251,0.03636363636363636,0.049721768500318377,0.11212121212121212
2020-10-19,37641.0,345.0,0.02170505565739486,0.06956521739130435,0.046199622751786615,0.06376811594202898
2020-10-20,39005.0,380.0,0.015485194205871041,0.02631578947368421,0.1157031149852583,0.031578947368421054
2020-10-21,41040.0,414.0,0.04300682261208577,0.024154589371980676,0.06817738791423002,0.04830917874396135
2020-10-22,43620.0,443.0,0.011623108665749657,0.006772009029345372,0.04763869784502522,0.0744920993227991
2020-10-23,46441.0,481.0,0.01339333778342413,0.004158004158004158,0.03895264959841519,0.004158004158004158
2020-10-24,48930.0,508.0,0.02926629879419579,0.00984251968503937,0.05916615573267934,0.07874015748031496
2020-10-25,50750.0,540.0,0.029182266009852218,0.046296296296296294,0.03416748768472906,0.024074074074074074
2020-10-26,53087.0,579.0,0.017367717143556803,-0.0034542314335060447,0.0411023414395238,0.022452504317789293
2020-10-27,55055.0,624.0,0.0710017255471801,0.003205128205128205,0.06715103078739443,0.027243589743589744
2020-10-28,58855.0,668.0,0.01755160988870954,0.014970059880239521,0.03731203805963809,0.07035928143712575
2020-10-29,61942.0,700.0,0.025362435827064028,0.04285714285714286,0.0376481224371186,0.07
2020-10-30,65385.0,740.0,0.018154010858759655,0.0,0.034289210063470216,0.05405405405405406
2020-10-31,69306.0,772.0,0.021109283467520848,0.04533678756476684,0.007906963322078896,0.050518134715025906
2020-11-01,72607.0,829.0,0.003484512512567659,-0.014475271411338963,0.019956753481069317,0.03498190591073583
2020-11-02,75866.0,866.0,0.016608230300793503,0.017321016166281754,-0.011678485751192893,0.03579676674364896
2020-11-03,81743.0,913.0,-0.0025934942441554628,0.01642935377875137,-0.00019573541465324248,0.02628696604600219
