date,cases,deaths,daily_tests,lowest_temperature,highest_temperature,days_since_last_holiday,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-08-25,114635.0,2494.0,,,,,,,0.00013957342870850962,0.003608660785886128,-0.001474244340733633,-0.008420208500400962
2020-08-26,115458.0,2515.0,,,,,,,0.0009007604496873322,0.003180914512922465,0.0005110083320341597,-0.003976143141153081
2020-08-27,115458.0,2515.0,,,,,,,0.009752464099499385,0.00437375745526839,0.01070519149820714,0.00437375745526839
2020-08-28,117592.0,2550.0,,,,,,,-0.008699571399414926,-0.00980392156862745,-0.008665555479964624,-0.012549019607843137
2020-08-29,118809.0,2568.0,,,,,,,-0.002264138238685621,-0.0011682242990654205,0.0006986002743899873,-0.0027258566978193145
2020-08-30,119747.0,2569.0,,,,,,,0.002179595313452529,0.0,-0.0005344601534902753,0.0003892565200467108
2020-08-31,120594.0,2580.0,,,,,,,-0.0016750418760469012,-0.0019379844961240308,-0.0007463057863575303,0.0031007751937984496
2020-09-01,121615.0,2612.0,,,,,,,-0.001521193931669613,-0.011485451761102605,-0.0006413682522715125,0.024502297090352215
2020-09-02,122542.0,2641.0,,,,,,,-0.0003672210344208516,-0.006815600151457781,-0.0006691583293891077,0.00605831124574025
2020-09-03,123668.0,2652.0,,,,,,,0.000889478280557622,0.0,-0.00020215415467218683,0.00942684766214178
2020-09-04,124779.0,2662.0,,,,,,,3.2056676203527836e-05,-0.0026296018031555213,0.0010498561456655368,0.007137490608564989
2020-09-05,125727.0,2677.0,,,,,,,0.0027997168468189013,-0.0014942099364960778,3.9768705210495756e-05,0.009712364587224505
2020-09-06,126926.0,2678.0,,,,,,,-0.002560547090430645,0.0003734129947722181,-0.0027023620062083427,0.008961911874533234
2020-09-07,127571.0,2684.0,,,,,,,0.0008779424790900754,0.0048435171385991065,-0.00014109789842519068,0.0
2020-09-08,128407.0,2686.0,,,,,,,0.0008332879048649996,0.034996276991809384,0.0002803585474312148,0.013775130305286673
2020-09-09,129289.0,2697.0,,,,,,,-0.00028618057220645217,0.01260659992584353,-0.002335852238009421,0.006674082313681869
2020-09-10,130525.0,2708.0,,,,,,,-0.001034284619804635,0.009231905465288036,-0.0025588967630722085,0.0048005908419497785
2020-09-11,131640.0,2711.0,,,,,,,0.0009647523549073233,0.009590556990040577,-0.0013217866909753875,0.0073773515308004425
2020-09-12,132940.0,2722.0,,,,,,,-0.0026102000902662854,0.011021307861866277,-0.0024447119001053106,-0.0011021307861866275
2020-09-13,133814.0,2724.0,,,,,,,-0.00013451507316125368,0.008443465491923641,-0.0010312822275696117,0.004772393538913362
2020-09-14,134571.0,2743.0,,,,,,,-0.0009660328005290887,-0.0047393364928909965,-0.0022887546350996873,-0.0021873860736419982
2020-09-15,135514.0,2839.0,,,,,,,-0.0005239311067491182,-0.020077492074674186,-0.00014758622725327268,-0.028531172948221207
2020-09-16,136359.0,2884.0,,,,,,,-0.0019433994089132363,-0.005547850208044383,-0.0006600224407629857,-0.008321775312066574
2020-09-17,137460.0,2920.0,,,,,,,-0.0014476938745816965,-0.00410958904109589,-0.0047359231776516785,-0.0054794520547945215
2020-09-18,138702.0,2949.0,,,,,,,-0.0021701201136248936,-0.002034587995930824,-0.0019898775792706667,-0.002373685995252628
2020-09-19,139655.0,2990.0,,,,,,,0.00015753105868031937,-0.011036789297658865,0.0011671619347678208,-0.007023411371237458
2020-09-20,140511.0,3015.0,,,,,,,-0.0008540256634711872,-0.003316749585406302,0.0015016617916035046,-0.007296849087893864
2020-09-21,141138.0,3021.0,,,,,,,-0.0012611770040669415,0.0023171135385633896,0.0004251158440675084,-0.0009930486593843098
2020-09-22,142010.0,3060.0,,,,,,,0.000359129638757834,-0.007843137254901959,-0.0017393141328075489,-0.007843137254901959
2020-09-23,142590.0,3089.0,,,,,,,0.0012272950417280314,-0.002589834898025251,-0.0004979311312153726,-0.0055033991583036575
2020-09-24,143492.0,3113.0,,,,,,,-0.0031500013938059266,-0.00128493414712496,0.006564825913639785,0.00032123353678124
2020-09-25,144433.0,3136.0,,,,,,,0.0001730906371812536,-0.0003188775510204081,0.001197787209294275,-0.002232142857142857
2020-09-26,145408.0,3144.0,,,,,,,0.0009696852992957748,0.0038167938931297713,0.0019324933978873238,0.0006361323155216285
2020-09-27,146144.0,3159.0,,,,,,,0.002264889424129625,-0.003798670465337132,0.0005131924677030874,-0.0034821145932257052
2020-09-28,146593.0,3172.0,,,,,,,0.0016235427339641047,-0.0031525851197982345,0.002762751290989338,-0.0031525851197982345
2020-09-29,147516.0,3187.0,,,,,,,-0.0020201198514059487,0.0,0.0021150248108679735,-0.0012550988390335738
2020-09-30,148271.0,3208.0,,,,,,,-0.0016591241712809652,-0.002805486284289277,0.00033722036001645637,-0.0037406483790523685
2020-10-01,148721.0,3228.0,,,,,,,0.009373255962506977,0.0015489467162329614,0.005923843976304625,-0.0040272614622057
2020-10-02,149687.0,3250.0,,,,,,,0.000988729816216505,-0.0018461538461538461,0.001449691689993119,-0.0006153846153846152
2020-10-03,150803.0,3270.0,,,,,,,0.0009283634940949453,-0.003058103975535168,-1.3262335629927787e-05,-0.0018348623853211008
2020-10-04,151870.0,3273.0,,,,,,,-0.0016856522025416475,0.0003055300947143293,-0.0010996246790017778,0.0024442407577146357
2020-10-05,152557.0,3276.0,,,,,,,0.0010946728108182516,0.0,1.96647810326632e-05,0.00641025641025641
2020-10-06,153182.0,3291.0,,,,,,,0.003982191119060986,-0.001215436037678517,0.001964982830880913,0.0039501671224551815
2020-10-07,153691.0,3303.0,,,,,,,0.001925942312822481,-0.0009082652134423252,0.003311839990630551,0.005449591280653951
2020-10-08,155535.0,3328.0,,,,,,,-0.003298292988716366,-0.005408653846153846,-0.00329186356768573,-0.004807692307692308
2020-10-09,156649.0,3344.0,,,,,,,0.0004404752025228377,0.0011961722488038275,0.0004213241067609752,-0.00029904306220095687
2020-10-10,157905.0,3354.0,,,,,,,-0.0008992748804661033,0.0011926058437686346,-0.0010639308444951078,0.0086463923673226
2020-10-11,158716.0,3358.0,,,,,,,0.000560750018901686,0.0020845741512805238,0.0011845056579046851,-0.0008933889219773672
2020-10-12,159570.0,3361.0,,,,,,,-0.001027762110672432,0.006248140434394526,0.00031334210691232685,-0.00029753049687592984
2020-10-13,160805.0,3372.0,,,,,,,-0.0019215820403594415,0.005041518386714117,-0.0006280899225770343,0.002372479240806643
2020-10-14,161610.0,3381.0,,,,,,,0.0013179877482829036,0.006211180124223602,0.003341377390012994,0.002070393374741201
2020-10-15,162941.0,3388.0,,,,,,,6.137190762300464e-06,0.0005903187721369539,0.0006014446947054455,0.0038370720188902006
2020-10-16,164124.0,3408.0,,,,,,,-1.827886232360898e-05,-0.0014671361502347415,0.001663376471448417,-0.003814553990610329
2020-10-17,165238.0,3422.0,,,,,,,-0.00015734879386097628,0.0073056691992986564,0.0026446701122017947,-0.0008766803039158388
2020-10-18,166138.0,3433.0,,,,,,,0.0005958901635989358,-0.0029129041654529565,0.0018177659536048345,-0.0029129041654529565
2020-10-19,166828.0,3457.0,,,,,,,0.001282758289975304,-0.0063638993346832535,0.0020140503992135614,-0.0060746311831067394
2020-10-20,167754.0,3485.0,,,,,,,0.0012399108217985859,-0.002582496413199426,0.001996971756262146,-0.005738880918220947
2020-10-21,168772.0,3515.0,,,,,,,0.0019375251819022112,-0.003982930298719772,0.0008235963311449768,-0.0054054054054054074
2020-10-22,170104.0,3524.0,,,,,,,0.0005702393829657152,0.0031214528944381393,0.00019987772186427132,0.0005675368898978432
2020-10-23,171284.0,3539.0,,,,,,,0.0016113589126830294,-0.0022605255721955355,0.002265243688844259,-0.0059338796270132785
2020-10-24,172372.0,3578.0,,,,,,,0.002686051098786346,-0.007825600894354388,0.0058884273547908025,-0.0047512576858580215
2020-10-25,173371.0,3579.0,,,,,,,0.0011708994007071539,0.0,0.0017476971350456536,0.0005588153115395362
2020-10-26,174275.0,3581.0,,,,,,,0.0007000430354325061,0.0002792516056967328,0.002283746951656864,0.0011170064227869311
2020-10-27,175409.0,3600.0,,,,,,,0.0007240221425354457,-0.0030555555555555557,0.0017159894874265286,-0.0016666666666666668
2020-10-28,176754.0,3616.0,,,,,,,-0.0010636251513402814,-0.0013827433628318586,0.0014087375674666485,-0.0002765486725663717
2020-10-29,178183.0,3636.0,,,,,,,-0.0003535690834703648,-0.0024752475247524753,0.0005163231060202151,-0.0008250825082508251
2020-10-30,179639.0,3643.0,,,,,,,0.0006234726312215053,-0.003568487510293714,-0.001230245102678149,0.005489980785067253
2020-10-31,181190.0,3654.0,,,,,,,0.0030465257464539985,0.0030103995621237,-7.72669573376014e-05,0.0008210180623973727
2020-11-01,182392.0,3655.0,,,,,,,0.0005482696609500417,0.0005471956224350205,-0.0002247905609895171,0.0
2020-11-02,183418.0,3658.0,,,,,,,0.0015047596201027162,0.0008201202843083652,0.009001297582570959,0.0008201202843083652
2020-11-03,184679.0,3666.0,,,,,,,0.0009421753420800416,0.001363884342607747,0.0046783879055008965,0.0057283142389525366
2020-11-04,185836.0,3677.0,,,,,,,0.002351535762715513,0.0010878433505575194,0.0049183150735056715,0.003807451726951319
2020-11-05,187202.0,3688.0,,,,,,,0.0008279826070234292,0.0016268980477223427,0.0031409920834179123,0.0067787418655097615
2020-11-06,188770.0,3682.0,,,,,,,-0.0017640514912327173,0.008962520369364476,0.0051703130794088035,0.005975013579576317
2020-11-07,190873.0,3704.0,,,,,,,-0.0029653224919187105,-0.0021598272138228947,0.0012835759903181696,0.0010799136069114474
2020-11-08,192175.0,3707.0,,,,,,,-0.0007337062573175491,-0.0005395198273536552,0.004240926239104982,-0.0008092797410304827
2020-11-09,193477.0,3713.0,,,,,,,0.0071067878869322965,0.0,0.010027031636835384,-0.0005386479935362242
2020-11-10,194912.0,3726.0,,,,,,,0.003540059103595469,0.0042941492216854536,0.005689747167952717,0.0064412238325281795
2020-11-11,196506.0,3741.0,,,,,,,0.0024274067967390307,0.002673082063619353,0.005719927126907065,0.003742314889067095
2020-11-12,198027.0,3758.0,,,,,,,0.0021865705181616647,0.005055880787653007,0.005448751937867057,0.0010643959552953698
2020-11-13,199262.0,3785.0,,,,,,,0.006569240497435537,-0.002906208718626156,0.001550722164788068,-0.003170409511228534
2020-11-14,200799.0,3799.0,,,,,,,0.004038864735382148,0.0031587259805211897,0.008147450933520586,-0.00105290866017373
2020-11-15,201960.0,3800.0,,,,,,,0.004733610615963557,-0.0002631578947368421,0.0057635175282234104,0.0007894736842105263
2020-11-16,204637.0,3806.0,,,,,,,0.0027609865273630872,-0.0005254860746190227,-0.00383117422557993,-0.0005254860746190227
2020-11-17,206762.0,3835.0,,,,,,,0.0020264845571236496,0.0020860495436766627,0.0004981573016318279,0.0005215123859191657
2020-11-18,208833.0,3860.0,,,,,,,0.0030981693506294504,0.0010362694300518132,0.0016568262678791188,-0.0012953367875647669
2020-11-19,210787.0,3896.0,,,,,,,0.0030647051288741714,-0.0038501026694045173,0.00032734466546798435,-0.000513347022587269
2020-11-20,213331.0,3912.0,,,,,,,-0.0046875512700920155,-0.00025562372188139056,0.0015609545729406414,-0.0007668711656441718
2020-11-21,215679.0,3938.0,,,,,,,0.0038251290111693775,-0.004062976130015236,0.006699771419563332,0.002793296089385475
2020-11-22,217796.0,3938.0,,,,,,,0.0009550221308013004,0.001015744032503809,0.008094730849051405,0.0007618080243778567
2020-11-23,221038.0,3942.0,,,,,,,-0.006103023009618257,0.0,0.002601362661623793,0.0010147133434804667
2020-11-24,223582.0,3979.0,,,,,,,-0.0014133517009419366,-0.0015079165619502387,0.005885983665948064,0.003769791404875597
2020-11-25,226300.0,4008.0,,,,,,,-0.0013300927971718955,-0.002245508982035928,0.007423773751657092,-0.001996007984031936
2020-11-26,228900.0,4029.0,,,,,,,-0.002520751419833989,0.003226607098535617,0.005744866754041065,0.008190618019359644
2020-11-27,230444.0,4044.0,,,,,,,0.005784485601708007,-0.0004945598417408506,0.008032320216625297,0.004945598417408506
2020-11-28,233617.0,4054.0,,,,,,,0.0026539164529978555,0.006660088801184016,0.0042976324496933034,0.007153428712382831
2020-11-29,235942.0,4058.0,,,,,,,0.0065906027752583255,-0.0002464268112370626,0.004106941536479304,-0.0004928536224741252
2020-11-30,237835.0,4062.0,,,,,,,0.0080896419786827,0.0009847365829640572,0.0056635903042024935,-0.0002461841457410143
2020-12-01,240063.0,4093.0,,,,,,,0.006798215468439534,0.005130710969948693,0.003882314225849048,0.006107989249938921
2020-12-02,242480.0,4113.0,,,,,,,0.008169745958429559,0.00024313153415998046,0.0062438139227977574,0.00437636761487965
2020-12-03,244503.0,4147.0,,,,,,,0.007738146362212325,0.0048227634434531,0.007484570741463294,0.002652519893899204
2020-12-04,247380.0,4160.0,,,,,,,0.0020939445387662707,0.005288461538461539,0.0016897081413210445,0.007692307692307694
2020-12-05,251173.0,4197.0,,,,,,,0.0015288267449128689,0.0004765308553728853,-0.0008320958064760147,0.0019061234214915413
2020-12-06,255053.0,4200.0,,,,,,,-0.002297561683257989,-0.0002380952380952381,-1.568301490278491e-05,0.0009523809523809524
2020-12-07,258870.0,4208.0,,,,,,,-0.002228917989724572,-0.001188212927756654,0.0008691621277088886,-0.0009505703422053232
2020-12-08,262730.0,4260.0,,,,,,,-0.0026643322041639697,0.0009389671361502347,-0.001023864804171583,-0.00023474178403755868
2020-12-09,267128.0,4281.0,,,,,,,-0.0017482255697643075,0.003971034804952114,0.0009508550208139918,0.007942069609904227
2020-12-10,271043.0,4335.0,,,,,,,-0.00022874599233331982,-0.002076124567474049,0.00319875444117723,-0.00530565167243368
2020-12-11,274438.0,4370.0,,,,,,,-0.0003643810259512167,0.0022883295194508014,0.002488722407246809,-0.0013729977116704805
2020-12-12,278615.0,4409.0,,,,,,,-0.0021283850474669345,0.0013608528010886822,-0.009306749457136191,-0.004309367203447494
2020-12-13,281909.0,4411.0,,,,,,,0.0020644959898406933,0.0011335298118340512,0.0025008069980029016,0.0027204715484017233
2020-12-14,285149.0,4414.0,,,,,,,0.002812564659178184,0.00022655188038060717,-0.0022479475642558804,0.0009062075215224287
2020-12-15,288309.0,4470.0,,,,,,,0.0014949238490647187,-0.0011185682326621924,0.003336697779118932,0.0006711409395973152
2020-12-16,292240.0,4508.0,,,,,,,0.002467150287434985,0.003771073646850044,0.000400355871886121,0.005767524401064774
2020-12-17,296093.0,4553.0,,,,,,,0.0031375277362180125,-0.0030748956731825173,0.004680961724863472,0.000658906215681968
2020-12-18,299388.0,4598.0,,,,,,,0.002615335283979318,-0.0034797738147020443,0.006302857829973145,0.0008699434536755111
2020-12-19,302972.0,4643.0,,,,,,,-0.006601270084364232,-0.005384449709239716,0.001336757192083757,-0.0019384018953262977
2020-12-20,306848.0,4650.0,,,,,,,0.0004008499322139952,0.0015053763440860215,0.0036956408384607358,0.0
2020-12-21,310890.0,4654.0,,,,,,,-0.0046415130753642755,0.0006446067898581865,-0.0008716909517835893,0.0008594757198109154
2020-12-22,314481.0,4705.0,,,,,,,0.0016884962843542214,0.0017003188097768332,0.0024993560819254576,0.0017003188097768332
2020-12-23,319133.0,4760.0,,,,,,,-0.0018926278385500719,0.0018907563025210086,0.00230311500220911,-0.004201680672268907
2020-12-24,323915.0,4791.0,,,,,,,0.0014108639612243953,0.0035483197662283454,0.0018430761156476238,0.0037570444583594244
2020-12-25,327993.0,4820.0,,,,,,,0.003365925492312336,0.004149377593360996,0.003536660843371657,0.0016597510373443985
2020-12-26,329577.0,4840.0,,,,,,,0.007297232513191152,0.003305785123966942,0.012786086407728695,0.01012396694214876
2020-12-27,333576.0,4854.0,,,,,,,0.003030793582272106,-0.001442109600329625,0.0034235076864042977,-0.002472187886279357
2020-12-28,336175.0,4861.0,,,,,,,0.003486279467539228,0.00020571898786257969,0.005744032126124786,0.0006171569635877391
2020-12-29,340297.0,4920.0,,,,,,,0.0007493454247319253,0.0,0.0012900495743424127,0.00508130081300813
2020-12-30,344345.0,4984.0,,,,,,,0.0038885420145493618,-0.005818619582664528,0.0015972353308455185,0.0022070626003210273
2020-12-31,349584.0,5032.0,,,,,,,0.0004004759943246831,0.0001987281399046105,0.00015732985491326835,0.005166931637519872
2021-01-01,354766.0,5081.0,,,,,,,0.00015785052682613327,-0.002361739814997048,-0.0010908598907448854,-0.0037394213737453256
2021-01-02,358755.0,5117.0,,,,,,,0.005042438432913827,0.006449091264412742,0.007715571908405458,0.002735978112175102
2021-01-03,363765.0,5124.0,,,,,,,0.00036012260662790534,-0.000975800156128025,0.013481231014528607,0.00312256049960968
2021-01-04,367536.0,5132.0,,,,,,,0.0020651038265639284,0.0003897116134060795,0.009452135301031736,0.0003897116134060795
2021-01-05,371913.0,5191.0,,,,,,,0.000494739361087136,0.004816027740319784,0.0004006313304455612,0.0
2021-01-06,377300.0,5226.0,,,,,,,-0.0020911741319904584,0.007654037504783774,-0.002311158229525577,0.00535782625334864
2021-01-07,382679.0,5275.0,,,,,,,-0.00022211827667575166,0.0047393364928909965,-0.0035695713639891397,0.005687203791469194
2021-01-08,387917.0,5312.0,,,,,,,-0.0011419968704645582,-0.0013177710843373493,-0.002812457304010909,0.004706325301204821
2021-01-09,393715.0,5381.0,,,,,,,0.002435772068628323,-0.0035309422040512915,-0.0022706780285231703,0.0014867125069689651
2021-01-10,398856.0,5383.0,,,,,,,0.011966724833022444,0.003901170351105332,-0.003382173014822392,-0.0005573100501579045
2021-01-11,403386.0,5393.0,,,,,,,0.006730526096592346,0.0,0.004070542854734671,-0.0012979788614871132
2021-01-12,407947.0,5477.0,,,,,0.0,0.0,-8.579545872380478e-05,-0.00456454263282819,0.00035788962781930004,0.0016432353478181491
