date,cases,deaths,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-09-29,157814.0,8123.0,,,0.0003041555248583776,0.00012310722639418935,0.0022431469958305345,0.0
2020-09-30,158967.0,8142.0,,,0.000981335748929023,0.001105379513633014,0.0007737454943478835,0.0009825595676737902
2020-10-01,160123.0,8160.0,,,0.0013739437807185726,0.0011029411764705882,0.0027603779594436778,0.0003676470588235294
2020-10-02,161284.0,8179.0,,,0.0013578532278465316,-0.001222643354933366,0.0025110984350586543,0.0007335860129600196
2020-10-03,161284.0,8199.0,,,0.010800823392276978,0.001951457494816441,0.011513851342972645,-0.0013416270276863033
2020-10-04,163535.0,8216.0,,,-0.006634665362154891,-0.001338851022395326,-0.006004830770171523,0.0010954235637779942
2020-10-05,164207.0,8227.0,,,0.002533387736211002,0.0008508569344840161,0.0026247358516993794,-0.00036465297192172114
2020-10-06,165243.0,8244.0,,,0.0018518182313320382,-0.00012130033964095099,0.003152932348117621,0.0019408054342552159
2020-10-07,166552.0,8272.0,,,-0.00019813631778663722,-0.00012088974854932302,0.0006964791776742399,0.00012088974854932302
2020-10-08,167928.0,8299.0,,,0.0013219951407746177,-0.0007229786721291722,0.004091039016721452,0.0003614893360645861
2020-10-09,169308.0,8308.0,,,0.0010985895527677368,0.0019258545979778526,0.0049554657783447914,0.002888781896966779
2020-10-10,171050.0,8344.0,,,0.0006723180356620871,-0.0032358581016299136,0.0017597193802981585,-0.0008389261744966443
2020-10-11,172216.0,8350.0,,,0.0005980861244019139,0.0023952095808383233,0.0029033307009801645,0.000718562874251497
2020-10-12,173304.0,8368.0,,,8.655310898767484e-05,-0.0011950286806883365,0.0018406961178045514,-0.0013145315487571702
2020-10-13,174646.0,8384.0,,,0.0012310616905053652,0.0020276717557251907,0.00806774847405609,0.0008349236641221374
2020-10-14,175922.0,8411.0,,,0.0008469662691420061,0.00023778385447628106,0.005411489182705972,-0.0005944596361907026
