date,cases,deaths,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-06-08,103626.0,7353.0,,,-0.0009939590450273098,-0.001903984768121855,-0.0003956536004477641,-0.0028559771521827824
2020-06-09,103889.0,7408.0,,,-0.0006545447544975888,-0.004994600431965443,-0.0003272723772487944,-0.005264578833693304
2020-06-10,104156.0,7454.0,,,-9.600983140673606e-06,0.0030855916286557554,-0.0009120933983639925,0.00026831231553528306
2020-06-11,104667.0,7492.0,,,-0.002292986328069019,-0.00026695141484249865,-0.0027229212645819597,-0.0017351841964762414
2020-06-12,105059.0,7538.0,,,-0.0015610276130555213,-0.0021225789334040858,-0.0015134353077794383,0.0005306447333510214
2020-06-13,105395.0,7576.0,,,-0.00047440580672707437,-0.0013199577613516368,0.00035106029697803504,-0.0013199577613516368
2020-06-14,105603.0,7624.0,,,-0.0007859625200041665,-0.00236096537250787,0.00015151084722971885,-0.0038037775445960128
2020-06-15,105690.0,7647.0,,,0.0005866212508278929,-0.0009153916568588989,0.00013246286309016937,0.001569242840329541
2020-06-16,105885.0,7665.0,,,0.00032110308353402274,-0.0002609262883235486,-0.000764980875478113,-0.007697325505544684
2020-06-17,106151.0,7734.0,,,-0.0008855309888743393,-0.0027152831652443757,-4.710271217416699e-05,-0.005430566330488751
2020-06-18,106422.0,7770.0,,,-0.0004228449004905001,-0.0014157014157014157,-0.0007141380541617335,0.0019305019305019305
2020-06-19,106650.0,7800.0,,,4.688232536333802e-05,0.002564102564102564,0.0005813408345053915,-0.0016666666666666668
2020-06-20,106936.0,7828.0,,,0.0008135707338969103,0.0,-0.0007107054686915538,-0.0006387327542156362
2020-06-21,107061.0,7858.0,,,0.0009247064757474711,-0.0013998472893866124,0.00010274516397194123,-0.0024179180453041487
2020-06-22,107210.0,7874.0,,,-0.0004477194291577278,0.002413004826009652,0.0001305848335043373,-0.000127000254000508
2020-06-23,107439.0,7890.0,,,-0.0010703748173382106,-0.007224334600760456,-0.000260612999004086,-0.00012674271229404308
2020-06-24,107611.0,7938.0,,,0.0008270529964408843,-0.0026455026455026454,0.0008549311873321501,-0.0022675736961451248
2020-06-25,107837.0,7963.0,,,-0.00028747090516242105,0.003265101092553058,0.0006398545953615178,0.0
2020-06-26,108070.0,8013.0,,,0.0005274359211622097,-0.0041183077499064025,-0.00018506523549551216,-0.0027455384999376014
2020-06-27,108443.0,8041.0,,,-0.0015030937912082845,-0.0006218132073125233,-0.0007838219156607619,-0.0017410769804750653
2020-06-28,108667.0,8060.0,,,-0.0008098134668298564,-0.0009925558312655087,-0.00023006064398575465,-0.0004962779156327543
2020-06-29,108768.0,8095.0,,,0.0005700205942924389,-0.0024706609017912293,0.0011860105913503972,-0.0037059913526868438
2020-06-30,108882.0,8054.0,,,0.0007990301427233151,0.006953066799106034,0.0017358241031575467,0.006332257263471567
2020-07-01,109143.0,8081.0,,,2.7486875017179296e-05,0.0003712411830219032,-0.00040314083358529635,0.00012374706100730108
2020-07-02,109338.0,8132.0,,,0.0009145951087453585,-0.0031972454500737825,0.0003566920924106898,-0.004795868175110674
2020-07-03,109628.0,8149.0,,,-0.0007023753055788667,0.0013498588783899864,7.297405772247967e-05,0.0006135722174499938
2020-07-04,109838.0,8172.0,,,0.0007101367468453541,-0.0011013215859030838,0.0013565432728199712,-0.0007342143906020558
2020-07-05,109974.0,8183.0,,,0.0005728626766326586,0.0004888182818037394,0.0014548893374797679,0.00012220457045093486
2020-07-06,110137.0,8198.0,,,0.0006083332576699928,-0.0012198097096852891,0.0008353232791886468,-0.0015857526225908757
2020-07-07,110338.0,8213.0,,,0.0009244321992423281,-0.0006087909411907951,0.0003897116134060795,0.00024351637647631802
2020-07-08,110602.0,8243.0,,,-0.00042494710764723966,-0.00024263011039670022,0.00020795283991247897,-0.0014557806623802013
2020-07-09,110897.0,8268.0,,,-0.0005500599655536219,-0.0015723270440251573,0.00028855604750353933,-0.0010885341074020319
