date,cases,deaths,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-10-04,8645.0,443.0,,,-0.005552342394447658,-0.002257336343115124,0.0024291497975708503,0.0
2020-10-05,8680.0,444.0,,,0.0018433179723502304,0.0,0.00195852534562212,0.0
2020-10-06,8731.0,446.0,,,0.009735425495361357,-0.004484304932735426,0.003550566945367083,-0.004484304932735426
2020-10-07,8800.0,448.0,,,0.00011363636363636364,0.0,0.0022727272727272726,-0.002232142857142857
2020-10-08,8878.0,449.0,,,-0.00011263798152737103,0.008908685968819599,-0.00011263798152737103,0.0
2020-10-09,8878.0,449.0,,,0.00991214237440865,0.004454342984409799,0.013291281820229782,0.0022271714922048997
2020-10-10,9092.0,455.0,,,-0.011328640563132424,-0.01098901098901099,-0.009678838539375276,-0.008791208791208791
2020-10-11,9092.0,455.0,,,0.007589089309282886,0.002197802197802198,0.009898812142542894,0
2020-10-12,9143.0,456.0,,,0.00010937329104232747,0.0,0.0019687192387618942,0.0021929824561403508
2020-10-13,9279.0,456.0,,,-0.005819592628516004,0,-0.00021554046772281495,0
2020-10-14,9349.0,458.0,,,0.002032302920098406,-0.002183406113537118,0.004278532463365066,0.002183406113537118
2020-10-15,9426.0,463.0,,,0.0,-0.008639308855291577,0.005304476978569913,-0.0021598272138228943
2020-10-16,9514.0,465.0,,,0.003153247845280639,-0.002150537634408602,0.00294303132226193,-0.004301075268817204
2020-10-17,9625.0,466.0,,,0.0015584415584415584,0.002145922746781116,0.009246753246753246,0.0
2020-10-18,9694.0,467.0,,,0.0021662884258304106,-0.0021413276231263384,0.0062925520940788114,-0.0021413276231263384
2020-10-19,9746.0,468.0,,,0.001744305356043505,0.002136752136752137,0.005540734660373486,-0.002136752136752137
2020-10-20,9828.0,468.0,,,0.005291005291005291,0,0.004680504680504681,0
2020-10-21,9917.0,469.0,,,0.0021175758798023595,0.0042643923240938165,0.0026217606130886357,0.0
2020-10-22,9994.0,470.0,,,0.005003001801080648,0.006382978723404255,0.01681008605163098,0.002127659574468085
2020-10-23,10112.0,471.0,,,-0.00019778481012658228,-0.0021231422505307855,0.008504746835443038,0.0021231422505307855
2020-10-24,10238.0,473.0,,,0.007227974213713616,-0.0021141649048625794,0.010060558702871654,-0.0021141649048625794
2020-10-25,10328.0,473.0,,,0.0038729666924864447,0,0.015201394268009295,0
2020-10-26,10397.0,475.0,,,0.0035587188612099642,-0.004210526315789474,0.013657785899778783,-0.004210526315789474
2020-10-27,10531.0,475.0,,,-0.0005697464628240433,0,0.008166365967144621,0
2020-10-28,10641.0,478.0,,,0.00046988065031482005,-0.0041841004184100415,0.011183159477492717,0.0
2020-10-29,10768.0,482.0,,,0.010958395245170876,-0.004149377593360996,0.01810921248142645,-0.002074688796680498
2020-10-30,10884.0,482.0,,,0.00808526277104006,0.004149377593360996,0.03151414920984932,0.006224066390041493
2020-10-31,11084.0,483.0,,,0.0026163839769036447,0.0,0.016420064958498737,0.0
2020-11-01,11214.0,483.0,,,0.01043338683788122,0,0.02051007668985197,0
2020-11-02,11320.0,483.0,,,0.009275618374558304,0,0.02226148409893993,0.002070393374741201
2020-11-03,11448.0,483.0,,,0.00803633822501747,0,0.012753319357092943,0.004140786749482402
2020-11-04,11563.0,484.0,,,0.009859033122891983,0.004132231404958678,0.028625789155063565,0.002066115702479339
2020-11-05,11808.0,486.0,,,0.0065210027100271,0.00205761316872428,0.02396680216802168,0.0
2020-11-06,12012.0,488.0,,,0.021228771228771228,0.0020491803278688526,0.026307026307026308,-0.0020491803278688526
2020-11-07,12241.0,489.0,,,0.012498978841597909,0.0,0.02083163140266318,0.0
2020-11-08,12488.0,489.0,,,0.0090486867392697,0,0.005605381165919282,0.0081799591002045
2020-11-09,12699.0,489.0,,,0.011575714623198678,0.002044989775051125,0.01834790140955981,0
2020-11-10,12919.0,489.0,,,0.004179890084371855,0.00408997955010225,0.009288644631937456,0.002044989775051125
2020-11-11,13148.0,492.0,,,0.01650441131731062,-0.0020325203252032522,0.012549437176756922,-0.0040650406504065045
2020-11-12,13470.0,495.0,,,0.015293244246473645,-0.00202020202020202,-0.02390497401633259,-0.006060606060606061
2020-11-13,13929.0,498.0,,,0.0043793524301816355,-0.004016064257028112,0.0055998276976093045,0.0
2020-11-14,14311.0,499.0,,,0.007127384529382992,0.0,0.021452029907064497,0.01002004008016032
2020-11-15,14671.0,499.0,,,-0.002930952218662668,0.008016032064128256,0.008043078181446391,0.006012024048096192
2020-11-16,15029.0,500.0,,,0.00572227027746357,-0.002,0.010379932131212988,-0.002
2020-11-17,15303.0,502.0,,,0.004312879827484807,-0.00199203187250996,0.03254263869829445,0.0
2020-11-18,15749.0,504.0,,,-0.0033017969394882217,-0.001984126984126984,0.007619531398818972,0.013888888888888888
