date,cases,deaths,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-07-17,3636.0,115.0,,,-0.0049504950495049506,-0.008695652173913044,-0.0038503850385038503,0.0
2020-07-18,3646.0,117.0,,,0.006308283049917718,-0.008547008547008548,0.004114097641250686,-0.017094017094017096
2020-07-19,3687.0,117.0,,,-0.004610794684024953,0,-0.005424464334147003,0
2020-07-20,3711.0,117.0,,,-0.0016168148746968471,0,-0.0032336297493936943,0.008547008547008548
2020-07-21,3723.0,118.0,,,-0.0016116035455278,0.00847457627118644,-0.0018802041364491002,-0.01694915254237288
2020-07-22,3723.0,118.0,,,0.007520816545796401,0,0.0045662100456621,0.00847457627118644
2020-07-23,3737.0,118.0,,,0.0021407546160021407,0.00847457627118644,-0.002408348943002408,0
2020-07-24,3757.0,118.0,,,0.001064679265371307,0.00847457627118644,-0.0007985094490284802,0
2020-07-25,3790.0,119.0,,,-0.0021108179419525065,-0.008403361344537815,-0.00554089709762533,0.0
2020-07-26,3814.0,119.0,,,-0.0007865757734661773,0,-0.002097535395909806,0
2020-07-27,3832.0,119.0,,,-0.0015657620041753654,0.008403361344537815,-0.002870563674321503,0
2020-07-28,3838.0,121.0,,,-0.0002605523710265763,-0.024793388429752067,-0.0013027618551328818,-0.008264462809917356
2020-07-29,3866.0,121.0,,,-0.0028453181583031556,0.008264462809917356,-0.0020693222969477496,0
2020-07-30,3888.0,122.0,,,-0.004372427983539095,-0.00819672131147541,-0.0007716049382716049,-0.00819672131147541
2020-07-31,3912.0,123.0,,,-0.0017893660531697342,-0.008130081300813009,0.0005112474437627812,-0.008130081300813009
2020-08-01,3937.0,123.0,,,-0.003302006604013208,0.008130081300813009,0.001016002032004064,0.008130081300813009
2020-08-02,3958.0,123.0,,,-0.0012632642748863063,0,0.0007579585649317837,0
2020-08-03,3970.0,124.0,,,-0.0012594458438287153,-0.008064516129032258,0.0042821158690176326,-0.008064516129032258
2020-08-04,3975.0,123.0,,,-0.0010062893081761006,0.016260162601626018,0.002767295597484277,0.008130081300813009
2020-08-05,3992.0,124.0,,,0.000751503006012024,-0.008064516129032258,0.001002004008016032,-0.008064516129032258
2020-08-06,3997.0,124.0,,,0.0035026269702276708,0,0.0035026269702276708,0.008064516129032258
2020-08-07,4014.0,124.0,,,0.002242152466367713,0,0.0037369207772795215,0.008064516129032258
2020-08-08,4026.0,125.0,,,0.004222553402881272,0.0,0.004967709885742673,0.0
2020-08-09,4042.0,125.0,,,0.0019792182088075212,0,0.0004948045522018803,0.008
2020-08-10,4049.0,125.0,,,0.005433440355643368,0,0.003457643862682144,0
2020-08-11,4050.0,126.0,,,0.003703703703703704,-0.007936507936507936,0.0027160493827160493,-0.007936507936507936
2020-08-12,4070.0,126.0,,,0.0002457002457002457,0,0.0002457002457002457,0.007936507936507936
2020-08-13,4089.0,126.0,,,0.0,0.007936507936507936,0.001467351430667645,0
2020-08-14,4115.0,126.0,,,0.0014580801944106927,0.007936507936507936,-0.0009720534629404617,0
2020-08-15,4144.0,127.0,,,0.0007239382239382239,0.0,0.005791505791505791,-0.007874015748031496
2020-08-16,4168.0,127.0,,,-0.0014395393474088292,0.007874015748031496,-0.0002399232245681382,0
2020-08-17,4197.0,127.0,,,-0.0019061234214915416,0,-0.0035739814152966403,0
2020-08-18,4213.0,127.0,,,-0.0009494422027059103,0,0.0014241633040588653,0
2020-08-19,4234.0,127.0,,,0.0,0.007874015748031496,-0.0004723665564478035,0.007874015748031496
2020-08-20,4253.0,128.0,,,0.0014107688690336232,-0.0078125,0.0072889724900070535,-0.0078125
2020-08-21,4285.0,129.0,,,-0.002333722287047841,-0.007751937984496124,-0.0039673278879813305,0.0
2020-08-22,4317.0,130.0,,,0.004864489228630994,-0.007692307692307693,0.0006949270326615705,-0.007692307692307693
2020-08-23,4335.0,131.0,,,0.0011534025374855825,-0.007633587786259542,-0.0006920415224913495,-0.007633587786259542
2020-08-24,4356.0,131.0,,,-0.0016069788797061523,0,-0.0004591368227731864,0
2020-08-25,4368.0,131.0,,,0.0022893772893772895,0,0.0,0
2020-08-26,4389.0,132.0,,,-0.000455684666210982,0.0,0.0,-0.007575757575757576
2020-08-27,4414.0,132.0,,,0.005663797009515179,0,0.00022655188038060717,0
2020-08-28,4436.0,132.0,,,-0.0015779981965734896,0.007575757575757576,0.002254283137962128,0
2020-08-29,4489.0,132.0,,,-0.004009801737580753,0,-0.002450434395188238,0.007575757575757576
2020-08-30,4512.0,132.0,,,-0.0017730496453900709,0,0.0013297872340425532,0.007575757575757576
2020-08-31,4526.0,132.0,,,0.001104728236853734,0,0.0057445868316394165,0
2020-09-01,4548.0,132.0,,,-0.0021987686895338612,0,-0.0015391380826737027,0.007575757575757576
2020-09-02,4567.0,133.0,,,0.0004379242391066346,-0.007518796992481203,0.0008758484782132691,0.0
2020-09-03,4617.0,133.0,,,-0.005198180636777128,0,-0.006281134936105696,0
2020-09-04,4632.0,134.0,,,0.0036701208981001726,-0.007462686567164179,0.006044905008635579,-0.007462686567164179
2020-09-05,4667.0,134.0,,,0.0014998928647953717,0.007462686567164179,-0.0010713520462824085,0.007462686567164179
2020-09-06,4682.0,134.0,,,0.00299017513882956,0.007462686567164179,0.006193934216146946,0
2020-09-07,4701.0,134.0,,,0.004467134652201659,0,0.0017017655817911082,0.007462686567164179
2020-09-08,4713.0,134.0,,,0.0006365372374283895,0.007462686567164179,0.005941014215998302,0
2020-09-09,4734.0,134.0,,,0.0004224757076468103,0.007462686567164179,0.0008449514152936206,0
2020-09-10,4760.0,134.0,,,-0.0010504201680672268,0,0.003781512605042017,0
2020-09-11,4792.0,134.0,,,0.002295492487479132,0,-0.0025041736227045075,0
2020-09-12,4834.0,135.0,,,-0.0024824162184526274,0.0,-0.003516756309474555,-0.007407407407407408
2020-09-13,4863.0,136.0,,,0.0030845157310302285,-0.007352941176470588,-0.00020563438206868187,-0.007352941176470588
2020-09-14,4903.0,136.0,,,-0.0026514378951662245,0.007352941176470588,-0.0057107893126657145,0
2020-09-15,4918.0,137.0,,,0.005083367222448149,-0.0072992700729927005,0.004473363155754371,0.0
2020-09-16,4941.0,138.0,,,0.0004047763610605141,-0.007246376811594203,0.006274033596437968,-0.007246376811594203
2020-09-17,4962.0,138.0,,,0.004635227730753728,0,0.0038291011688835145,0.007246376811594203
2020-09-18,5005.0,138.0,,,-0.004595404595404595,0,-0.0011988011988011988,0
2020-09-19,5035.0,139.0,,,-0.0009930486593843098,-0.007194244604316547,-0.0023833167825223437,-0.007194244604316547
2020-09-20,5079.0,139.0,,,-0.003150226422524119,0,-0.0021657806654853317,0
