date,cases,deaths,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-06-03,43091.0,3989.0,,,0.0012995753173516511,0.0015041363750313362,-0.0007426144670580864,-0.002005515166708448
2020-06-04,43239.0,4007.0,,,-0.0007863271583524133,0.001996506114299975,-0.0031684359027729595,-0.0027451959071624656
2020-06-05,43460.0,4038.0,,,0.0001610676484123332,-0.004457652303120356,-0.002393005062126093,-0.0047052996532937095
2020-06-06,43818.0,4055.0,,,-0.0012095485873385367,0.002466091245376079,-0.004564334291843534,-0.0009864364981504315
2020-06-07,43968.0,4071.0,,,-0.0012736535662299854,-0.00024563989191844754,-0.0025018195050946143,-0.0017194792434291329
2020-06-08,44092.0,4084.0,,,0.0005216365780640479,-0.002448579823702253,-0.0021999455683570715,-0.002448579823702253
2020-06-09,44179.0,4097.0,,,0.000611150093936033,-0.001708567244325116,0.0006790556599289255,0.000244081034903588
2020-06-10,44347.0,4120.0,,,-0.001984350688885381,-0.0033980582524271844,-0.003472613705549417,-0.0031553398058252425
2020-06-11,44461.0,4146.0,,,-0.0023166370526978702,-0.004582730342498794,-0.0007422235217381525,-0.00361794500723589
2020-06-12,44689.0,4159.0,,,-0.0024838327105104166,-0.00024044241404183698,-0.003647430016335116,-0.0009617696561673479
2020-06-13,44994.0,4186.0,,,-0.0032671022803040404,-0.0033444816053511705,-0.003511579321687336,-0.005494505494505495
2020-06-14,45088.0,4201.0,,,-0.0011976579134137686,-0.0014282313734825041,6.653655074520937e-05,-0.00238038562247084
2020-06-15,45235.0,4204.0,,,-0.0026528130872112304,0.0,-0.0019453962639549023,0.0002378686964795433
2020-06-16,45349.0,4210.0,,,6.615360867935346e-05,0.0019002375296912114,0.0008379457099384771,-0.0009501187648456057
2020-06-17,45429.0,4219.0,,,-0.0014528164828633693,0.00023702299123014932,-0.0004842721609544564,-0.0016591609386110452
2020-06-18,45440.0,4226.0,,,0.0015404929577464788,0.000946521533364884,0.001386443661971831,-0.001183151916706105
2020-06-19,45557.0,4238.0,,,-0.0011414272230392695,-0.0007078810759792355,-0.0010097240819193537,-0.0007078810759792355
2020-06-20,45715.0,4251.0,,,-0.00024062124029312042,-0.002117148906139732,-0.0034561959969375477,-0.0030581039755351682
2020-06-21,45755.0,4260.0,,,0.0012457654901103705,-0.0009389671361502347,-0.000874221396568681,-0.002112676056338028
2020-06-22,45782.0,4263.0,,,0.0006989646585994496,0.0002345765892563922,0.00506749377484601,0.0
2020-06-23,45899.0,4277.0,,,0.0007625438462711606,-0.0028057049333645077,-0.0013072180221791324,-0.0032733224222585926
2020-06-24,45913.0,4287.0,,,0.000958334240846819,-0.0018661068346162819,0.0013285997429921808,-0.001166316771635176
2020-06-25,45994.0,4298.0,,,-0.0001521937644040527,-0.0020939972080037225,0.000434839326868722,-0.0013959981386691485
2020-06-26,46059.0,4307.0,,,0.00013026770012375432,0.0,0.0002822466836014677,-0.0020896215463199444
2020-06-27,46206.0,4311.0,,,-0.00318140501233606,-0.0009278589654372535,-0.00318140501233606,-0.0009278589654372535
2020-06-28,46303.0,4316.0,,,-0.002094896658963782,-0.0011584800741427247,-0.002094896658963782,-0.0011584800741427247
2020-06-29,46362.0,4320.0,,,0.004313877744704715,-0.0002314814814814815,0.0035373797506578664,0.004398148148148148
2020-06-30,46514.0,4322.0,,,-0.0020423958378122716,-0.00046274872744099955,-0.0028378552693812615,-0.00023137436372049977
2020-07-01,46572.0,4324.0,,,0.0003650261959975951,0.0006938020351526364,0.001030662200463798,0.0013876040703052729
2020-07-02,46646.0,4326.0,,,0.0005788277665823436,0.0006934812760055479,0.0008575226171590275,0.0016181229773462784
2020-07-03,46717.0,4335.0,,,0.00014983838859515807,-0.0020761245674740486,0.001541194854121626,-0.000461361014994233
2020-07-04,46717.0,4335.0,,,0,0,0,0
2020-07-05,46717.0,4335.0,,,0,0,0,0
2020-07-06,46976.0,4338.0,,,-0.0007663487738419619,0.004610419548178884,-0.0020648841961852862,0.0016136468418626094
2020-07-07,47033.0,4338.0,,,-0.0007866816915782536,0.0002305209774089442,-0.0003401866774392448,0
2020-07-08,47108.0,4343.0,,,0.0006580623248705103,0.000690766751093714,0.0011038464804279528,-0.0011512779184895234
2020-07-09,47209.0,4348.0,,,0.0002753712215891038,0.0009199632014719411,-0.0019487809527844267,-0.00022999080036798528
2020-07-10,47287.0,4348.0,,,0.0013745849810730222,0.001609935602575897,0.009854716941231205,0.0006899724011039559
2020-07-11,47287.0,4348.0,,,0,0,0,0
2020-07-12,47287.0,4348.0,,,0,0,0,0
2020-07-13,47510.0,4371.0,,,-0.001283940223110924,-0.0029741477922672157,-0.00033677120606188173,-0.004118050789293068
2020-07-14,47530.0,4372.0,,,0.0004418262150220913,-0.00022872827081427266,0.00155691142436356,0.0009149130832570906
2020-07-15,47636.0,4380.0,,,0.00044084305987068605,-0.0018264840182648401,0.007494332017801662,-0.0013698630136986301
2020-07-16,47750.0,4389.0,,,-0.002198952879581152,-0.001139211665527455,0.0003350785340314136,-0.000683526999316473
2020-07-17,47893.0,4396.0,,,0.00837283110266636,-0.0009099181073703367,-6.263963418453637e-05,-0.001364877161055505
2020-07-18,47893.0,4396.0,,,0,0,0,0
2020-07-19,47893.0,4396.0,,,0,0,0,0
2020-07-20,48055.0,4406.0,,,0.0009364270107168869,-0.0011348161597821154,0.0018728540214337738,-0.0011348161597821154
2020-07-21,48096.0,4406.0,,,0.0011019627411842981,0.0011348161597821154,0.000145542248835662,0
2020-07-22,48223.0,4406.0,,,0.006967629554362026,0.00045392646391284613,-0.00024884391265578667,0
2020-07-23,48232.0,4410.0,,,0.0025087079117598276,0.00045351473922902497,0.00022806435561452978,-0.0009070294784580499
2020-07-24,48776.0,4413.0,,,-0.008282762014105298,-0.00045320643553138455,-0.009615384615384616,0.00022660321776569228
2020-07-25,48776.0,4413.0,,,0,0,0,0
2020-07-26,48776.0,4413.0,,,0,0,0,0
2020-07-27,48983.0,4418.0,,,0.0009186860747606312,0.0,0.0008166098442316722,-0.0004526935264825713
2020-07-28,49077.0,4423.0,,,-0.0009373026061087679,-0.0011304544426859599,0.00046865130305438394,-0.0011304544426859599
2020-07-29,49540.0,4425.0,,,-0.00702462656439241,-0.0004519774011299435,-0.008901897456600727,0.000903954802259887
2020-07-30,49670.0,4431.0,,,-0.002214616468693376,-0.0013540961408259986,-0.0010871753573585665,-0.0013540961408259986
2020-07-31,49810.0,4432.0,,,-0.0013049588436057017,0.0006768953068592057,-0.0005019072475406545,0.0004512635379061372
2020-08-01,49810.0,4432.0,,,0,0,0,0
2020-08-02,49810.0,4432.0,,,0,0,0,0
2020-08-03,50062.0,4437.0,,,-9.987615356957373e-05,-0.000450755014649538,0.00235707722424194,-0.000450755014649538
2020-08-04,50110.0,4437.0,,,0.0013769706645380163,0,-0.001197365795250449,0
2020-08-05,50225.0,4437.0,,,-0.0018516674962667993,0.001352265043948614,-0.0011149825783972125,0.000225377507324769
2020-08-06,50245.0,4437.0,,,0.0011145387600756294,0,0.0019504428301323515,0.000225377507324769
2020-08-07,50320.0,4441.0,,,0.000794912559618442,-0.00022517451024544022,0.0002384737678855326,-0.00045034902049088043
2020-08-08,50320.0,4441.0,,,0,0,0,0
2020-08-09,50320.0,4441.0,,,0,0,0,0
2020-08-10,50567.0,4444.0,,,0.0024324163980461565,0.0,0.004845057053018767,-0.0006750675067506751
2020-08-11,50684.0,4444.0,,,-0.0025451819114513455,0,-0.001736248125641228,0.0006750675067506751
2020-08-12,50706.0,4450.0,,,0.0007296966828383228,-0.0011235955056179776,0.0031160020510393248,-0.001348314606741573
2020-08-13,50782.0,4450.0,,,0.00082706470796739,0.00022471910112359551,0.0010633689102437871,0.00044943820224719103
2020-08-14,50897.0,4453.0,,,-0.0005501306560308073,-0.00022456770716370987,0.0005894257028901507,-0.0006737031214911295
2020-08-15,50897.0,4453.0,,,0,0,0,0
2020-08-16,50897.0,4453.0,,,0,0,0,0
2020-08-17,51267.0,4456.0,,,0.002379698441492578,-0.0006732495511669659,0.0002730801490237385,-0.0006732495511669659
2020-08-18,51255.0,4456.0,,,0.0007999219588332846,0.0006732495511669659,0.002711930543361623,0.0002244165170556553
2020-08-19,51314.0,4457.0,,,0.0023580309467201932,-0.0002243661655822302,0.0008379779397435398,0.0
2020-08-20,51432.0,4458.0,,,0.0002333177788147457,0.00022431583669807088,-0.00033053351998755636,0.0
2020-08-21,51519.0,4460.0,,,0.0011257982491896194,-0.0004484304932735426,0.001339311710242823,-0.0004484304932735426
2020-08-22,51519.0,4460.0,,,0,0,0,0
2020-08-23,51519.0,4460.0,,,0,0,0,0
2020-08-24,52011.0,4460.0,,,-0.00207648382073023,0,-0.009459537405548826,0
2020-08-25,52040.0,4463.0,,,0.0018831667947732513,-0.00044812906116961686,0.007455803228285934,0.0006721935917544253
2020-08-26,52220.0,4463.0,,,-0.001493680582152432,0.00022406453058480843,-0.001742627345844504,0
2020-08-27,52350.0,4465.0,,,-0.0005539637058261701,-0.00022396416573348266,0.0017574021012416428,0.0004479283314669653
2020-08-28,52495.0,4465.0,,,0.00020954376607295932,0,0.0016763501285836746,0.0004479283314669653
2020-08-29,52495.0,4465.0,,,0,0,0,0
2020-08-30,52495.0,4465.0,,,0,0,0,0
2020-08-31,52879.0,4465.0,,,-0.007261861986800053,0,0.003498553300932317,0.0011198208286674132
2020-09-01,53006.0,4466.0,,,0.005471078745802362,0.0011195700850873264,0.0001697920990076595,-0.0002239140170174653
2020-09-02,53108.0,4467.0,,,-0.00024478421330119757,-0.00022386389075442132,0.0006213753106876554,0.00022386389075442132
2020-09-03,53209.0,4468.0,,,0.002274051382284952,0.0006714413607878246,0.0022364637561314814,0.0
2020-09-04,53365.0,4468.0,,,0.001442893282113745,0.0004476275738585497,-0.000281083106905275,0.0008952551477170994
2020-09-05,53365.0,4468.0,,,0,0,0,0
2020-09-06,53365.0,4468.0,,,0,0,0,0
2020-09-07,53365.0,4468.0,,,0.010662419188606765,0.0011190689346463742,0.009313220275461444,0.0006714413607878246
2020-09-08,53782.0,4474.0,,,-0.0052247964002826225,-0.0013410818059901655,-0.0052247964002826225,-0.001117568171658471
2020-09-09,53871.0,4474.0,,,0.0008538917042564645,0.0004470272686633885,0.0012251489669766664,0.00022351363433169424
2020-09-10,54093.0,4478.0,,,-3.697336069362025e-05,-0.0006699419383653417,-0.001201634222542658,-0.00044662795891022776
2020-09-11,54326.0,4480.0,,,-0.001693480101608806,0.0004464285714285714,-0.0021720723042373815,0.0
2020-09-12,54326.0,4480.0,,,0,0,0,0
2020-09-13,54326.0,4480.0,,,0,0,0,0
2020-09-14,54895.0,4485.0,,,-0.0013115948629201203,-0.0004459308807134894,-0.00016394935786501503,-0.0006688963210702341
2020-09-15,55031.0,4485.0,,,0.0,0.0002229654403567447,0.000835892496956261,0.0004459308807134894
2020-09-16,55166.0,4487.0,,,0.0003625421455244172,-0.00022286605749944285,0.001558931225754994,0.00022286605749944285
2020-09-17,55386.0,4488.0,,,-0.0011374715632109197,0.0002228163992869875,-0.000505542916982631,0.000445632798573975
2020-09-18,55527.0,4492.0,,,-0.00046824067570731354,-0.0004452359750667854,0.00745583229780107,-0.0004452359750667854
2020-09-19,55527.0,4492.0,,,0,0,0,0
2020-09-20,55527.0,4492.0,,,0,0,0,0
2020-09-21,56024.0,4495.0,,,0.0011245180636869914,-0.0002224694104560623,0.00581893474225332,0.0002224694104560623
2020-09-22,56160.0,4496.0,,,0.0008190883190883191,0.00022241992882562276,-0.0002670940170940171,0.0006672597864768683
2020-09-23,56315.0,4497.0,,,0.0011719790464352303,0.00044474093840338,-0.0005682322649382935,0.0
2020-09-24,56472.0,4499.0,,,0.0006197761722623601,0.0002222716159146477,0.004019691174387307,0.0006668148477439431
2020-09-25,56587.0,4501.0,,,0.007775637513916624,0.0,0.00309258310212593,0.00022217285047767163
2020-09-26,56587.0,4501.0,,,0,0,0,0
2020-09-27,56587.0,4501.0,,,0,0,0,0
2020-09-28,57147.0,4503.0,,,0.004602166342940137,0.00044414834554741284,0.013631511715400633,0.0
2020-09-29,57329.0,4505.0,,,-0.0010640339095396745,0.0004439511653718091,0.002407158680597952,-0.00022197558268590456
2020-09-30,57550.0,4508.0,,,-0.0017028670721112077,-0.00044365572315882877,-0.0009904430929626412,0.00022182786157941438
2020-10-01,57742.0,4511.0,,,0.0033251359495687716,0.0004433606739082243,-0.00043296041010010045,0.0
2020-10-02,58297.0,4513.0,,,-0.004545688457382026,0.00022158209616662973,0.004236924713107021,0.0
2020-10-03,58297.0,4513.0,,,0,0,0,0
2020-10-04,58297.0,4513.0,,,0,0,0,0
2020-10-05,59120.0,4517.0,,,0.008728010825439784,-0.00044277175116227583,0.0062246278755074425,0.0017710870046491033
2020-10-06,59241.0,4521.0,,,0.0033591600411876908,-0.0006635700066357001,0.005283502979355514,0.00022119000221190003
2020-10-07,59364.0,4522.0,,,0.0006906542685802844,0.0006634232640424591,0.004935651236439593,0.0015479876160990713
2020-10-08,59748.0,4527.0,,,-0.00363192073374841,-0.0004417936823503424,0.0019749615049876146,-0.0006626905235255136
2020-10-09,60038.0,4530.0,,,0.008527932309537294,-0.0002207505518763797,0.006479229821113295,0.0011037527593818985
2020-10-10,60038.0,4530.0,,,0,0,0,0
2020-10-11,60038.0,4530.0,,,0,0,0,0
2020-10-12,61377.0,4532.0,,,-0.0024113267184776056,0.002206531332744925,0.011535265653257736,0.002206531332744925
2020-10-13,61697.0,4533.0,,,0.0018477397604421608,0.0008824178248400617,0.0035333970857578164,0.0011030222810500773
2020-10-14,61861.0,4537.0,,,0.004073648987245599,0.0008816398501212255,0.005269879245405021,0.001102049812651532
2020-10-15,62028.0,4540.0,,,0.005400786741471594,-0.00022026431718061675,0.01857225769007545,0.0004405286343612335
2020-10-16,62830.0,4542.0,,,-0.0019576635365271366,0.001321003963011889,-0.0006525545121757123,0.001100836635843241
2020-10-17,62830.0,4542.0,,,0,0,0,0
2020-10-18,62830.0,4542.0,,,0,0,0,0
2020-10-19,64021.0,4554.0,,,0.013370612767685603,0.0,0.02280501710376283,-0.00021958717610891525
2020-10-20,64455.0,4559.0,,,0.0016135288185555813,0.00021934634788330776,-0.006733379877433869,-0.0010967317394165387
2020-10-21,64871.0,4567.0,,,0.0011407254397188267,0.0002189621195533173,0.01694131430068906,0.0021896211955331727
2020-10-22,65373.0,4569.0,,,0.012497514264298716,0.0006565988181221273,0.018126749575512826,0.001969796454366382
2020-10-23,66052.0,4577.0,,,0.0012414461333494823,-0.00021848372296263927,0.005843880578937807,0.001529386060738475
2020-10-24,66052.0,4577.0,,,0,0,0,0
2020-10-25,66052.0,4577.0,,,0,0,0,0
2020-10-26,68099.0,4589.0,,,0.008869440079883698,-0.00021791239921551536,0.01895769394557923,0.0032686859882327304
2020-10-27,68637.0,4595.0,,,-0.007838337922694756,-0.0013057671381936887,0.014365429724492621,0.0006528835690968443
2020-10-28,69127.0,4604.0,,,0.014827780751370666,0.001954821894005213,0.018285185238763435,0.0
2020-10-29,70446.0,4609.0,,,0.005223859410044573,0.0013018008244738556,-0.0022854384918945007,0.0010848340203948796
2020-10-30,71207.0,4616.0,,,0.004269243192382771,0.0017331022530329288,0.027876472818683558,0.0008665511265164644
2020-10-31,71207.0,4616.0,,,0,0,0,0
2020-11-01,71207.0,4616.0,,,0,0,0,0
2020-11-02,73858.0,4627.0,,,0.00930163286306155,0.0034579641236222175,0.026916515475642448,0.0023773503349902745
