date,cases,deaths,time_of_year,daily_tests,daily_vaccinations,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-01-22,0.0,0.0,0.057534246575342486,,,0,0,0,0
2020-01-23,0.0,0.0,0.06027397260273975,,,1,0,0,0
2020-01-24,0.0,0.0,0.06301369863013699,,,0,0,0,0
2020-01-25,0.0,0.0,0.06575342465753428,,,0,0,0,0
2020-01-26,0.0,0.0,0.06849315068493153,,,1,0,0,0
2020-01-27,0.0,0.0,0.0712328767123288,,,1,0,0,0
2020-01-28,0.0,0.0,0.07397260273972606,,,0,0,0,0
2020-01-29,0.0,0.0,0.07671232876712332,,,0,0,0,0
2020-01-30,5.0,0.0,0.07945205479452057,,,-1.0,0,-1.0,0
2020-01-31,5.0,0.0,0.08219178082191785,,,0,0,0,0
2020-02-01,5.0,0.0,0.08493150684931511,,,0,0,0,0
2020-02-02,6.0,0.0,0.08767123287671237,,,-0.16666666666666666,0,-0.16666666666666666,0
2020-02-03,7.0,0.0,0.09041095890410963,,,-0.14285714285714285,0,-0.14285714285714285,0
2020-02-04,7.0,0.0,0.0931506849315069,,,0,0,0,0
2020-02-05,7.0,0.0,0.09589041095890416,,,0,0,0,0
2020-02-06,7.0,0.0,0.09863013698630142,,,0,0,0,0
2020-02-07,7.0,0.0,0.10136986301369867,,,0,0,0,0
2020-02-08,7.0,0.0,0.10410958904109596,,,0,0,0,0
2020-02-09,7.0,0.0,0.1068493150684932,,,0,0,0,0
2020-02-10,7.0,0.0,0.10958904109589047,,,0,0,0,0
2020-02-11,7.0,0.0,0.11232876712328774,,,0,0,0,0
2020-02-12,7.0,0.0,0.115068493150685,,,0,0,0,0
2020-02-13,7.0,0.0,0.11780821917808225,,,0,0,0,0
2020-02-14,7.0,0.0,0.12054794520547953,,,0,0,0,0
2020-02-15,7.0,0.0,0.1232876712328768,,,0,0,0,0
2020-02-16,7.0,0.0,0.12602739726027404,,,0,0,0,0
2020-02-17,7.0,0.0,0.1287671232876713,,,0,0,0.2857142857142857,0
2020-02-18,7.0,0.0,0.13150684931506856,,,0,0,0,0
2020-02-19,7.0,0.0,0.13424657534246578,,,0,0,1,0
2020-02-20,7.0,0.0,0.13698630136986306,,,0,0,0.14285714285714285,0
2020-02-21,7.0,0.0,0.13972602739726028,,,0,0,0.2857142857142857,0
2020-02-22,7.0,0.0,0.14246575342465753,,,0,0,0.5714285714285714,0
2020-02-23,7.0,0.0,0.14520547945205478,,,0,0,0.7142857142857143,0
2020-02-24,7.0,0.0,0.14794520547945206,,,0.2857142857142857,0,0.5714285714285714,0
2020-02-25,7.0,0.0,0.15068493150684928,,,0,0,1.0,0
2020-02-26,7.0,0.0,0.15342465753424653,,,1,0,1,0
2020-02-27,7.0,0.0,0.15616438356164378,,,0.14285714285714285,0,1,0
2020-02-28,7.0,0.0,0.15890410958904105,,,0.2857142857142857,0,0.14285714285714285,1
2020-02-29,7.0,0.0,0.16164383561643828,,,0.5714285714285714,0,1,1
2020-03-01,7.0,0.0,0.16438356164383552,,,0.7142857142857143,0,1,0
2020-03-02,9.0,0.0,0.16712328767123275,,,0.2222222222222222,0,0.5555555555555556,0
2020-03-03,9.0,0.0,0.16986301369863002,,,0.7777777777777778,0,1,1
2020-03-04,31.0,0.0,0.17260273972602727,,,-0.3870967741935484,0,0.0,0
2020-03-05,32.0,0.0,0.17534246575342452,,,0.375,0,0.46875,0
2020-03-06,34.0,0.0,0.17808219178082174,,,-0.029411764705882353,1,0.7647058823529411,1
