date,cases,deaths,time_of_year,daily_tests,daily_vaccinations,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-06-12,58568.0,1284.0,0.4465753424657522,32026.0,,0.005651550334653736,-0.008566978193146417,0.058598552110367436,0.010124610591900311
2020-06-13,61927.0,1354.0,0.4493150684931495,27462.0,,0.007524989100069436,0.01772525849335303,0.04611881731716376,-0.01624815361890694
2020-06-14,65736.0,1423.0,0.4520547945205467,34071.0,,0.017600705853717903,-0.016163035839775124,0.05173725203845686,0.0028109627547434997
2020-06-15,70038.0,1480.0,0.454794520547944,26975.0,,0.004554670321825295,-0.002702702702702703,0.029012821611125388,-0.00945945945945946
2020-06-16,73533.0,1568.0,0.4575342465753412,23580.0,,0.0107842737274421,-0.01721938775510204,0.03583425128853712,-0.009566326530612245
2020-06-17,76334.0,1625.0,0.4602739726027385,34847.0,,0.02249325333403202,0.03323076923076923,0.05428773547829276,0.04369230769230769
2020-06-18,80412.0,1674.0,0.4630136986301357,20738.0,,0.0200218872805054,0.03225806451612903,0.05031587325274835,0.025686977299880526
2020-06-19,83890.0,1737.0,0.465753424657533,32336.0,,0.03696507331028728,0.013816925734024179,0.06258195255691977,0.018422567645365574
2020-06-20,87715.0,1831.0,0.4684931506849302,33174.0,,0.027247335119420853,-0.025122883670125613,0.05971612609017842,0.007646095030038231
2020-06-21,92681.0,1877.0,0.4712328767123274,34452.0,,0.024212082303816315,0.014384656366542355,0.0635189521045306,0.014917421417155035
2020-06-22,97302.0,1930.0,0.4739726027397247,25116.0,,0.017604982425849416,-0.0051813471502590676,0.04267127088857372,0.06217616580310881
2020-06-23,101590.0,1991.0,0.4767123287671219,29596.0,,0.018131705876562654,0.006027122049221497,0.04609705679692883,0.025113008538422903
2020-06-24,106108.0,2102.0,0.4794520547945192,34122.0,,0.022872921928601048,0.008087535680304472,0.05292720624269612,0.03853472882968601
2020-06-25,111796.0,2205.0,0.4821917808219165,43118.0,,0.021789688360943145,-0.004988662131519274,0.02792586496833518,-0.0013605442176870747
2020-06-26,118375.0,2292.0,0.4849315068493137,33092.0,,0.018154171066525872,0.0034904013961605585,0.05993664202745512,0.013525305410122163
2020-06-27,124590.0,2340.0,0.4876712328767109,35905.0,,0.022858977446022954,0.02564102564102564,0.049225459507183565,0.039316239316239315
2020-06-28,131800.0,2413.0,0.4904109589041082,38075.0,,0.027640364188163884,0.0004144218814753419,0.047701062215478,0.015748031496062992
2020-06-29,138134.0,2456.0,0.4931506849315054,29911.0,,0.017656768065791188,0.052931596091205214,0.04143802394776087,0.026465798045602607
2020-06-30,144264.0,2529.0,0.4958904109589027,33013.0,,0.019693062718349693,0.015025701858442072,0.03759773748128431,0.007908264136022143
2020-07-01,151209.0,2657.0,0.4986301369862999,36931.0,,0.021090014483264884,0.024087316522393678,0.023484051875219066,0.017312758750470454
2020-07-02,159333.0,2749.0,0.5013698630136972,39188.0,,0.004305448337758029,0.0029101491451436886,0.029077466689260856,0.005456529647144416
2020-07-03,168061.0,2844.0,0.5041095890410945,39026.0,,0.029429790373733347,0.00808720112517581,0.02644277970498807,0.04254571026722925
2020-07-04,177124.0,2952.0,0.5068493150684917,46925.0,,0.018546329125358505,0.01084010840108401,0.024333235473453625,0.009146341463414634
2020-07-05,187977.0,3026.0,0.509589041095889,38083.0,,0.014065550572676444,0.012227362855254461,0.012937753022976214,0.023132848645076007
2020-07-06,196750.0,3199.0,0.5123287671232862,33950.0,,0.016696315120711562,-0.02031884964051266,0.02376620076238882,-0.02750859643638637
2020-07-07,205721.0,3310.0,0.5150684931506835,43421.0,,0.012555840191327088,-0.005438066465256798,0.0015992533577029082,0.008761329305135951
2020-07-08,215855.0,3502.0,0.5178082191780807,36867.0,,0.001677051724537305,-0.005139920045688178,-0.009098700516550462,0.0008566533409480297
2020-07-09,224665.0,3602.0,0.520547945205478,56170.0,,0.017568379587385663,0.001943364797334814,0.0193176507244119,0.13103831204886174
2020-07-10,238339.0,3720.0,0.5232876712328752,56663.0,,-0.0021062436277738852,0.026344086021505377,-0.0023915515295440527,0.009408602150537635
2020-07-11,250687.0,3860.0,0.5260273972602725,51338.0,,0.004088764076318277,-0.0012953367875647669,0.006366504844686801,0.02849740932642487
2020-07-12,264184.0,3971.0,0.5287671232876697,45821.0,,-0.0008024710050570814,0.008310249307479225,-0.004894316082730219,0.050616973054646186
2020-07-13,276242.0,4079.0,0.531506849315067,40233.0,,0.005035439940342164,-0.005638636920813925,-0.002986511826586833,0.0014709487619514587
2020-07-14,287796.0,4172.0,0.5342465753424642,38114.0,,-0.007831936510583885,0.011265580057526366,-0.015486664164894578,0.04913710450623202
2020-07-15,298292.0,4346.0,0.5369863013698615,45389.0,,-0.00779772840035938,0.0048320294523699955,-0.010945650570581845,0.0036815462494247586
2020-07-16,311049.0,4453.0,0.5397260273972587,46796.0,,0.0012634665277817963,0.10442398383112508,-0.004484823934492636,0.02986750505277341
2020-07-17,324221.0,4669.0,0.542465753424656,48130.0,,-0.00020973348425919357,-0.013493253373313344,-0.006557255699044787,0.02120368387234954
2020-07-18,337594.0,4804.0,0.5452054794520532,49688.0,,0.0016913807709852662,0.023938384679433804,-0.00698768343039272,0.012073272273105746
2020-07-19,350879.0,4948.0,0.5479452054794505,49006.0,,-0.0030808341337042115,0.03395311236863379,-0.009057253355145222,0.0008084074373484236
2020-07-20,364328.0,5033.0,0.5506849315068477,33899.0,,-0.006082431215827496,0.005761970991456387,-0.014421071122724578,0.02543214782435923
2020-07-21,373628.0,5173.0,0.5534246575342451,31275.0,,-0.00589623903990065,0.030543205103421612,-0.01049974841285985,-0.02706359945872801
2020-07-22,381798.0,5368.0,0.5561643835616422,48553.0,,-0.002459415711973347,-0.0009314456035767511,-0.009727657033300332,0.060171385991058125
