date,cases,deaths,time_of_year,daily_tests,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-11-18,15806.0,329.0,0.8821917808219149,786.0,,,-0.00012653422750854106,0.0,0.00031633556877135266,-0.00303951367781155
2020-11-19,15823.0,329.0,0.8849315068493121,800.0,,,0.00012639828098337863,0.0,0.0030967578840927767,0.00303951367781155
2020-11-20,15835.0,329.0,0.8876712328767093,794.0,,,0.0013261761919797913,0.0,0.002020839911588254,0.00303951367781155
2020-11-21,15848.0,330.0,0.8904109589041066,978.0,,,0.0005047955577990914,0.0,0.00422766279656739,0.0
2020-11-22,15865.0,330.0,0.8931506849315038,891.0,,,0.0018279231011660887,0.0,0.005231641979199495,0.0030303030303030303
2020-11-23,15882.0,330.0,0.8958904109589011,684.0,,,0.001951895227301348,0.0030303030303030303,0.003966754816773706,0.0030303030303030303
2020-11-24,15897.0,330.0,0.8986301369862983,524.0,,,-6.290495061961377e-05,0.0,0.00383720198779644,0.006060606060606061
2020-11-25,15908.0,331.0,0.9013698630136956,743.0,,,0.00044003017349761124,-0.0030211480362537764,0.0020115665074176515,-0.0030211480362537764
2020-11-26,15927.0,331.0,0.9041095890410928,959.0,,,0.0029509637722107108,0.0030211480362537764,0.003139323161926289,0.0030211480362537764
2020-11-27,15960.0,331.0,0.9068493150684901,921.0,,,0.0006892230576441103,0.0030211480362537764,0.004260651629072682,0.006042296072507553
2020-11-28,15981.0,332.0,0.9095890410958873,1050.0,,,0.003691884112383455,0.0,0.00663287654089231,0.0030120481927710845
2020-11-29,16027.0,332.0,0.9123287671232846,1029.0,,,0.003369314282148873,0.0030120481927710845,0.007612154489299306,0.012048192771084338
2020-11-30,16075.0,333.0,0.9150684931506818,722.0,,,0.0019906687402799373,0.0,-0.0021150855365474337,-0.003003003003003003
2020-12-01,16089.0,333.0,0.9178082191780791,680.0,,,0.0038535645472061657,0.006006006006006006,0.0035427932127540555,0.003003003003003003
2020-12-02,16107.0,333.0,0.9205479452054763,1053.0,,,0.0015521201961879929,0.0,0.003228410008071025,0.0
2020-12-03,16173.0,334.0,0.9232876712328736,916.0,,,0.0001854943424225561,0.0,0.00333889816360601,0.0029940119760479052
2020-12-04,16217.0,335.0,0.9260273972602708,1054.0,,,0.003514830116544367,0.0029850746268656717,0.004378121724116668,0.005970149253731343
2020-12-05,16297.0,336.0,0.9287671232876681,1224.0,,,0.002883966374179297,0.002976190476190476,0.0017181076271706448,0.002976190476190476
2020-12-06,16397.0,337.0,0.9315068493150653,925.0,,,0.004147100079282796,0.008902077151335312,0.0006708544245898637,0.008902077151335312
2020-12-07,16477.0,338.0,0.9342465753424626,1231.0,,,-0.004005583540693089,-0.002958579881656805,0.00048552527765976817,0.008875739644970414
2020-12-08,16553.0,340.0,0.9369863013698598,844.0,,,-0.00030206004953784815,-0.002941176470588236,0.002718540445840633,0.011764705882352941
2020-12-09,16596.0,340.0,0.9397260273972571,1001.0,,,0.0016268980477223427,0.0,0.00138587611472644,0.002941176470588236
2020-12-10,16665.0,341.0,0.9424657534246543,1284.0,,,0.0030603060306030605,0.0029325513196480947,0.0017401740174017401,0.014662756598240468
