date,cases,deaths,time_of_year,daily_tests,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-07-22,107430.0,160.0,0.5561643835616422,4630.0,,,-0.0010239225542213537,0.00625,-0.0016475844736107232,-0.00625
2020-07-23,107871.0,163.0,0.5589041095890395,3525.0,,,-0.001557415802208193,-0.006134969325153374,-0.0016130377951442,-0.012269938650306749
2020-07-24,108244.0,164.0,0.5616438356164367,5351.0,,,-0.0006097335649089095,0.006097560975609756,-0.0007945013118510032,-0.006097560975609756
2020-07-25,108638.0,164.0,0.564383561643834,4326.0,,,-0.0014635762808593675,0.018292682926829267,-0.0009481028737642444,0.012195121951219513
2020-07-26,109036.0,164.0,0.5671232876712312,3442.0,,,-0.00166917348398694,0.0,-0.0012014380571554347,0.012195121951219513
2020-07-27,109305.0,165.0,0.5698630136986285,4752.0,,,-0.000667855999268103,0.01212121212121212,0.00025616394492475184,0.006060606060606061
2020-07-28,109597.0,165.0,0.5726027397260257,4736.0,,,-0.0007025739755650247,0.0,0.00020985975893500733,0.02424242424242424
2020-07-29,109880.0,167.0,0.575342465753423,5505.0,,,-0.0006097560975609756,-0.011976047904191616,0.0009191845649799779,-0.011976047904191616
2020-07-30,110153.0,169.0,0.5780821917808202,5134.0,,,-5.44696921554565e-05,-0.005917159763313609,0.00017248735849227894,0.0
2020-07-31,110460.0,171.0,0.5808219178082175,2808.0,,,-0.00018106101756291867,-0.011695906432748536,0.00032590983161325367,-0.011695906432748536
2020-08-01,110695.0,174.0,0.5835616438356147,3289.0,,,0.0005058945751840643,-0.005747126436781609,0.00014454130719544696,-0.017241379310344827
2020-08-02,110911.0,174.0,0.586301369863012,1870.0,,,0.00045982815049904884,0.011494252873563218,0.0005499905329498427,0.011494252873563218
2020-08-03,111107.0,177.0,0.5890410958904092,2256.0,,,0.000909033634244467,-0.005649717514124294,0.0006750249759241093,-0.011299435028248588
2020-08-04,111322.0,177.0,0.5917808219178065,2356.0,,,0.0008982950360216309,0.022598870056497168,0.0006557553762957906,0.0
2020-08-05,111538.0,177.0,0.5945205479452037,2931.0,,,0.0015062131291577758,0.0,0.0006903476841973137,0.0
2020-08-06,111805.0,178.0,0.597260273972601,2921.0,,,0.00022360359554581642,0.005617977528089888,0.00025043602701131434,-0.005617977528089888
2020-08-07,112092.0,178.0,0.5999999999999982,2930.0,,,0.0004995896228098348,0.0,-0.00016950362202476535,0.0
2020-08-08,112383.0,180.0,0.6027397260273955,2895.0,,,-0.00035592571830259025,-0.011111111111111113,-0.00030253686055720173,-0.011111111111111113
2020-08-09,112650.0,182.0,0.6054794520547927,3535.0,,,8.87705281846427e-05,0.0,0.00015090989791389261,-0.01098901098901099
2020-08-10,112947.0,184.0,0.60821917808219,4106.0,,,-0.00023019646382816718,-0.005434782608695652,-0.0004781003479508088,-0.010869565217391304
2020-08-11,113262.0,188.0,0.6109589041095872,4823.0,,,-0.00023838533665306987,-0.02127659574468085,-0.0005032579329342586,-0.015957446808510637
2020-08-12,113646.0,188.0,0.6136986301369844,4706.0,,,-0.0008007320979180966,0.0,-0.0013374865811379196,0.0
2020-08-13,113938.0,190.0,0.6164383561643817,4607.0,,,2.633010935772087e-05,-0.010526315789473684,-0.00042128174972353376,-0.010526315789473684
2020-08-14,114281.0,190.0,0.619178082191779,3916.0,,,-0.0006562770714291965,0.0,-0.0008487850123817608,0.005263157894736842
2020-08-15,114532.0,190.0,0.6219178082191762,3767.0,,,5.238710578702895e-05,0.0,-0.00037544092480704084,0.005263157894736842
2020-08-16,114809.0,192.0,0.6246575342465734,4988.0,,,6.097082981299377e-05,-0.010416666666666666,-0.000574867823951084,-0.010416666666666666
2020-08-17,115080.0,193.0,0.6273972602739707,4697.0,,,-0.00024330900243309004,-0.0051813471502590676,-0.0008950295446645811,0.0
2020-08-18,115368.0,193.0,0.6301369863013679,5020.0,,,-0.00026003744539213655,0.0051813471502590676,-0.0007367727619443866,0.0
2020-08-19,115661.0,193.0,0.6328767123287652,5023.0,,,-0.0005274033598187806,0.0,-0.0006657386673122312,0.0051813471502590676
2020-08-20,115956.0,193.0,0.6356164383561624,6260.0,,,-0.0004398220014488254,0.0,-0.0007157887474559315,0.0051813471502590676
2020-08-21,116224.0,193.0,0.6383561643835597,4849.0,,,-0.0001892896475770925,0.0051813471502590676,-0.00046462004405286336,0.010362694300518135
2020-08-22,116481.0,193.0,0.6410958904109569,7001.0,,,-0.0004206694654063753,0.0051813471502590676,-0.00034340364522969416,0.0
2020-08-23,116765.0,193.0,0.6438356164383542,5797.0,,,-0.0006251873420973751,0.0,-0.0004881599794458956,0.0051813471502590676
2020-08-24,117008.0,193.0,0.6465753424657514,4295.0,,,-0.0006409818132093533,0.0051813471502590676,-0.00010255709011349653,0.0051813471502590676
2020-08-25,117266.0,194.0,0.6493150684931487,5232.0,,,-0.00046901915303668585,-0.005154639175257732,-4.263810482151689e-05,0.005154639175257732
2020-08-26,117498.0,194.0,0.6520547945205459,4665.0,,,-0.00013617253059626546,0.005154639175257732,-8.510783162266591e-06,0.0
2020-08-27,117742.0,194.0,0.6547945205479432,5146.0,,,-0.0002717806729968915,0.005154639175257732,0.00019534235871651576,0.0
2020-08-28,117988.0,195.0,0.6575342465753404,5096.0,,,-0.00027121402176492524,0.005128205128205128,-0.00033901752720615655,-0.005128205128205128
2020-08-29,118196.0,196.0,0.6602739726027377,5774.0,,,7.61447087887915e-05,-0.005102040816326529,0.00022843412636637447,-0.005102040816326529
2020-08-30,118407.0,196.0,0.6630136986301349,4481.0,,,0.00013512714619912675,0.005102040816326529,0.00021113616593613552,0.0
2020-08-31,118575.0,197.0,0.6657534246575322,5222.0,,,0.0005313092979127135,0.0,0.00041324056504322157,-0.005076142131979695
2020-09-01,118778.0,197.0,0.6684931506849294,4914.0,,,0.00042095337520416234,0.01015228426395939,0.0002694101601306639,0.01015228426395939
2020-09-02,118994.0,198.0,0.6712328767123267,4997.0,,,0.00012605677597189775,-0.005050505050505051,0.0001932870564902432,0.0
2020-09-03,119206.0,199.0,0.6739726027397239,5162.0,,,0.0004613861718369881,-0.005025125628140704,0.0001929433082227405,-0.005025125628140704
2020-09-04,119420.0,201.0,0.6767123287671212,5344.0,,,-6.69904538603249e-05,-0.009950248756218905,0.0002512142019762184,-0.009950248756218905
2020-09-05,119637.0,201.0,0.6794520547945184,4725.0,,,0.00015045512675844429,0.0,5.8510327072728344e-05,0.0049751243781094535
2020-09-06,119864.0,202.0,0.6821917808219157,5035.0,,,7.508509644263498e-05,-0.0049504950495049506,1.6685576987252217e-05,-0.0049504950495049506
2020-09-07,120095.0,203.0,0.6849315068493129,3640.0,,,-0.00011657437861692827,-0.0049261083743842365,-8.326741329780589e-06,0.0
2020-09-08,120348.0,205.0,0.6876712328767102,4288.0,,,-0.00014956625785222854,0.0,-0.0002077309136836508,-0.004878048780487805
2020-09-09,120579.0,205.0,0.6904109589041074,4163.0,,,6.634654458902462e-05,0.004878048780487805,0.0006800520820375022,0.0
2020-09-10,120846.0,205.0,0.6931506849315047,4071.0,,,-0.00026479982788011204,0.0,-7.447495159128146e-05,0.004878048780487805
2020-09-11,121052.0,205.0,0.6958904109589019,4463.0,,,0.00031391468129398937,0.0,0.0003634801572877772,0.0
2020-09-12,121287.0,205.0,0.6986301369862992,5206.0,,,-9.069397379768647e-05,0.004878048780487805,-8.24490670888059e-05,0.0
2020-09-13,121523.0,205.0,0.7013698630136964,5192.0,,,-5.760226459188795e-05,0.0,-0.00029624021790113813,0.00975609756097561
2020-09-14,121740.0,205.0,0.7041095890410937,4396.0,,,0.00010678495153606046,0.004878048780487805,0.00013964185970100215,0.0
2020-09-15,121975.0,207.0,0.7068493150684909,4987.0,,,-5.738880918220947e-05,-0.004830917874396135,-6.558721049395367e-05,-0.00966183574879227
2020-09-16,122214.0,208.0,0.7095890410958882,4568.0,,,0.0006054952787732992,-0.004807692307692308,-0.0001391002667452174,-0.004807692307692308
2020-09-17,122449.0,208.0,0.7123287671232854,4150.0,,,0.000187833302027783,0.004807692307692308,-6.533332244444626e-05,0.0
2020-09-18,122693.0,208.0,0.7150684931506827,5051.0,,,4.89025453774869e-05,0.0,-0.00036676909033115176,0.0
2020-09-19,122917.0,209.0,0.7178082191780799,4874.0,,,8.135571157773132e-06,-0.004784688995215311,-0.0001545758519976895,0.0
2020-09-20,123146.0,209.0,0.7205479452054772,5020.0,,,-0.00023549282964935926,0.009569377990430622,-0.00043850388969191034,0.004784688995215311
2020-09-21,123376.0,210.0,0.7232876712328744,5468.0,,,3.242121644404098e-05,-0.0047619047619047615,-0.0005754765918817272,-0.0047619047619047615
2020-09-22,123604.0,211.0,0.7260273972602717,4596.0,,,-8.09035306300767e-06,-0.0047393364928909965,-0.00027507200414226076,-0.0047393364928909965
2020-09-23,123917.0,211.0,0.7287671232876689,4950.0,,,-0.0007343625168459532,0.0,-0.0005003349015873528,0.0
2020-09-24,124175.0,212.0,0.7315068493150662,6039.0,,,-0.00024964767465270786,-0.0047169811320754715,-0.0001610630159049728,0.0047169811320754715
2020-09-25,124425.0,212.0,0.7342465753424634,5974.0,,,-0.0004098854731766123,0.0,-0.0002973678923046012,0.0
2020-09-26,124650.0,212.0,0.7369863013698607,4261.0,,,-0.0001604492579221821,0.0047169811320754715,-0.00015242679502607302,0.0047169811320754715
2020-09-27,124850.0,214.0,0.7397260273972579,4902.0,,,-0.00020024028834601522,-0.004672897196261682,-0.0001762114537444934,-0.009345794392523364
2020-09-28,125084.0,214.0,0.7424657534246552,4658.0,,,-0.0005995970707684436,0.0,-0.00021585494547663969,0.004672897196261682
2020-09-29,125311.0,214.0,0.7452054794520524,5288.0,,,-0.00026334479814222217,0.0,-0.00016758305336323227,0.0
2020-09-30,125533.0,214.0,0.7479452054794496,5701.0,,,0.0002310149522436332,0.0,-6.372826268789879e-05,0.0
2020-10-01,125760.0,214.0,0.7506849315068469,5214.0,,,8.746819338422391e-05,0.009345794392523364,-0.00023059796437659039,0.0
2020-10-02,125959.0,214.0,0.7534246575342441,5096.0,,,0.00011114727808255068,0.0,7.939091291610762e-06,0.009345794392523364
2020-10-03,126164.0,215.0,0.7561643835616414,5200.0,,,7.926191306553374e-06,0.0,-0.00012681906090485402,-0.004651162790697674
2020-10-04,126339.0,216.0,0.7589041095890386,4344.0,,,2.3745636739249164e-05,-0.0046296296296296285,0.0004749127347849833,0.0
2020-10-05,126498.0,216.0,0.7616438356164359,4751.0,,,0.00037945263956742404,0.0046296296296296285,0.00035573684959446,0.0046296296296296285
2020-10-06,126692.0,216.0,0.7643835616438331,4846.0,,,9.471789852555804e-05,0.0,0.00036308527768130587,0.0
2020-10-07,126943.0,216.0,0.7671232876712304,4662.0,,,-0.0002914693996518122,0.0,0.00017330612952269918,0.0
2020-10-08,127181.0,218.0,0.7698630136986276,4994.0,,,-0.0003145123878566767,-0.009174311926605505,0.00022015867149967368,-0.004587155963302753
2020-10-09,127394.0,218.0,0.7726027397260249,5347.0,,,-0.0001020456222428058,0.009174311926605505,0.0003061368667284174,0.013761467889908258
2020-10-10,127600.0,219.0,0.7753424657534221,5143.0,,,-0.00013322884012539185,-0.0045662100456621,0.0003369905956112853,0.0
2020-10-11,127778.0,219.0,0.7780821917808194,6430.0,,,0.00044608618071968563,0.0045662100456621,0.0005947815742929143,0.0
2020-10-12,127985.0,220.0,0.7808219178082166,5545.0,,,-2.344024690393405e-05,0.0,-1.562683126928937e-05,0.0
2020-10-13,128191.0,220.0,0.7835616438356139,6079.0,,,0.00026522922826095437,0.0,0.0004368481406651013,0.0
2020-10-14,128405.0,220.0,0.7863013698630111,6173.0,,,0.0004594836649663175,0.0,0.0003348779253144348,0.0
2020-10-15,128603.0,220.0,0.7890410958904084,5416.0,,,0.0005287590491668159,0.004545454545454545,0.000404345155245212,0.0
2020-10-16,128803.0,222.0,0.7917808219178056,6082.0,,,0.0004037173047211634,0.0045045045045045045,8.540173753716916e-05,-0.0045045045045045045
2020-10-17,128992.0,222.0,0.7945205479452029,8621.0,,,0.0004651451252790871,0.0045045045045045045,3.1009675018605804e-05,0.0045045045045045045
2020-10-18,129227.0,223.0,0.7972602739726001,7485.0,,,0.00014702809784332996,-0.004484304932735426,-0.00017024306066069786,-0.004484304932735426
2020-10-19,129431.0,224.0,0.7999999999999974,8844.0,,,7.726124344245197e-06,0.0,-0.00030904497376980786,-0.004464285714285714
2020-10-20,129671.0,224.0,0.8027397260273946,6748.0,,,0.00016966013989249716,0.0,-0.0003316084552444263,0.0
2020-10-21,129944.0,224.0,0.8054794520547919,6505.0,,,-0.00012312996367666072,0.0,-0.00036169426830019084,0.0
2020-10-22,130210.0,225.0,0.8082191780821891,9444.0,,,-0.0001228784271561324,-0.004444444444444445,-0.0002995161661930728,-0.004444444444444445
2020-10-23,130462.0,228.0,0.8109589041095864,9665.0,,,-0.00031426775612822125,-0.008771929824561403,-2.299520166791863e-05,-0.013157894736842105
2020-10-24,130711.0,229.0,0.8136986301369836,9032.0,,,-0.00042842606972634284,0.0,-0.0004360765352571704,-0.004366812227074236
2020-10-25,130965.0,229.0,0.8164383561643809,,,,-0.0003130607414194632,0.0,-0.00039705264765395337,0.0
2020-10-26,131170.0,230.0,0.8191780821917781,,,,-0.00031257147213539685,-0.004347826086956522,-0.00011435541663490127,-0.004347826086956522
2020-10-27,131432.0,230.0,0.8219178082191754,6013.0,,,-0.0004945523160265385,0.0,-0.00024347190942844966,0.0
2020-10-28,131689.0,230.0,0.8246575342465726,10044.0,,,-0.00023540310883976651,0.0,-0.0002050285141507643,0.004347826086956522
2020-10-29,131939.0,230.0,0.8273972602739699,5314.0,,,-0.00017432298259043952,0.0,-0.00019706076292832293,0.0
2020-10-30,132150.0,231.0,0.8301369863013671,5810.0,,,0.0002875520242149073,-0.004329004329004329,0.0002572833900870224,0.0
2020-10-31,132343.0,232.0,0.8328767123287644,4331.0,,,-7.556123104357616e-06,-0.004310344827586207,0.0003173571703830198,-0.004310344827586207
2020-11-01,132556.0,232.0,0.8356164383561616,3481.0,,,-8.298379552792782e-05,0.0,-7.543981411629802e-05,0.0
2020-11-02,132720.0,232.0,0.8383561643835589,5301.0,,,0.00019590114526823384,0.0,0.0003842676311030741,0.0
2020-11-03,132917.0,232.0,0.8410958904109561,5680.0,,,0.00024827523943513616,0.0,0.0003460806367883717,0.004310344827586207
2020-11-04,133143.0,232.0,0.8438356164383534,5467.0,,,3.004288622007916e-05,0.004310344827586207,-0.0002403430897606333,0.0
2020-11-05,133370.0,232.0,0.8465753424657506,6029.0,,,-2.249381420109469e-05,0.0,-5.9983504536252524e-05,0.0
2020-11-06,133619.0,232.0,0.8493150684931479,5562.0,,,-2.9935862414776342e-05,0.004310344827586207,-0.0003068425897514575,0.0
2020-11-07,133811.0,232.0,0.8520547945205451,3997.0,,,0.00032134876803850205,0.0,0.00035124167669324643,0.0
2020-11-08,134013.0,232.0,0.8547945205479424,4781.0,,,7.461962645414998e-06,0.0,-0.00020893495407161991,0.0
2020-11-09,134203.0,232.0,0.8575342465753396,5288.0,,,0.00018628495637206322,0.0,-0.00017138215986229816,0.004310344827586207
2020-11-10,134433.0,232.0,0.8602739726027369,4389.0,,,9.670244657189827e-05,0.004310344827586207,-0.00032730058839719413,0.0
2020-11-11,134663.0,233.0,0.8630136986301341,5135.0,,,-0.00026733401156962204,-0.004291845493562232,-2.2277834297468493e-05,-0.004291845493562232
2020-11-12,134887.0,233.0,0.8657534246575314,5300.0,,,-3.7068064379814215e-05,0.0,-0.00011120419313944265,0.004291845493562232
2020-11-13,135132.0,234.0,0.8684931506849286,4770.0,,,-0.00027380635230737346,-0.004273504273504274,-0.00022200515051949205,-0.004273504273504274
2020-11-14,135367.0,234.0,0.8712328767123259,4163.0,,,2.9549299312240057e-05,0.0,-0.0003767535662310608,0.0
2020-11-15,135570.0,234.0,0.8739726027397231,3955.0,,,-0.00021391163236704285,0.0,0.00017703031644169064,0.0
2020-11-16,135785.0,234.0,0.8767123287671204,5013.0,,,-0.00035350001841145934,0.004273504273504274,-0.0003240416835438377,0.0
2020-11-17,136028.0,235.0,0.8794520547945176,4577.0,,,-0.0004190313758931985,-0.00425531914893617,-0.0004263828035404476,-0.00425531914893617
2020-11-18,136222.0,235.0,0.8821917808219149,4637.0,,,0.00024225161868127027,0.0,-0.00019086491168827355,0.00425531914893617
2020-11-19,136441.0,235.0,0.8849315068493121,4703.0,,,-7.329175247909352e-05,0.00425531914893617,0.0002638503089247367,0.00425531914893617
2020-11-20,136649.0,235.0,0.8876712328767093,4352.0,,,5.1226134110019104e-05,0.0,9.513424906146404e-05,0.0
2020-11-21,136888.0,235.0,0.8904109589041066,,,,-0.0004017883233008007,0.0,-0.00053328268365379,0.0
2020-11-22,137062.0,235.0,0.8931506849315038,,,,0.0003866863171411478,0.0,-0.0002480629204301703,0.0
2020-11-23,137229.0,236.0,0.8958904109589011,4194.0,,,2.9148357854389367e-05,-0.00423728813559322,-0.0003060577574710885,-0.00423728813559322
2020-11-24,137415.0,236.0,0.8986301369862983,4151.0,,,-7.277225921478732e-06,0.0,-5.8217807371829855e-05,0.0
2020-11-25,137642.0,236.0,0.9013698630136956,3709.0,,,-0.0004286482323709333,0.00423728813559322,-0.000799174670522079,0.0
2020-11-26,137851.0,237.0,0.9041095890410928,4755.0,,,0.00033369362572632766,0.0,-0.00042799834604028986,0.0
2020-11-27,138066.0,237.0,0.9068493150684901,3612.0,,,4.345747685889357e-05,0.0,-0.00037663146611041095,0.0
2020-11-28,138250.0,237.0,0.9095890410958873,3877.0,,,-0.00013019891500904161,0.0,-0.00014466546112115733,0.0
2020-11-29,138477.0,237.0,0.9123287671232846,3212.0,,,-0.0006282631772785372,0.0,-0.0005777132664630228,0.0
2020-11-30,138648.0,237.0,0.9150684931506818,4352.0,,,-0.0003317754313080607,0.0,-0.000266862846921701,0.0
2020-12-01,138833.0,237.0,0.9178082191780791,3651.0,,,-5.042028912434364e-05,0.0,-0.00018007246115837012,0.004219409282700422
2020-12-02,139001.0,238.0,0.9205479452054763,4625.0,,,-0.00036690383522420704,-0.004201680672268907,-0.00012230127840806899,-0.004201680672268907
2020-12-03,139256.0,239.0,0.9232876712328736,4962.0,,,-0.0007540070086746711,0.0,-0.000789912104325846,0.0
2020-12-04,139477.0,239.0,0.9260273972602708,4017.0,,,-0.00041583917061594383,0.0,-0.0005807409106877838,0.0
2020-12-05,139643.0,239.0,0.9287671232876681,3390.0,,,-1.4322235987482364e-05,0.0,-5.012782595618828e-05,0.0
2020-12-06,139783.0,239.0,0.9315068493150653,3350.0,,,5.007762031148279e-05,0.0,1.4307891517566515e-05,0.0041841004184100415
