date,cases,deaths,time_of_year,daily_tests,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-06-25,77.0,15.0,0.48219178082191644,,,,0.0,0.0,0.0,0.0
2020-06-26,77.0,15.0,0.4849315068493137,,,,0.0,0.0,0.0,0.0
2020-06-27,77.0,15.0,0.48767123287671094,,,,0.012987012987012988,0.0,0.0,0.0
2020-06-28,77.0,15.0,0.4904109589041082,,,,0.0,0.0,0.0,0.0
2020-06-29,77.0,15.0,0.49315068493150543,,,,0.0,0.0,0.0,0.0
2020-06-30,77.0,15.0,0.4958904109589027,,,,0.0,0.0,0.0,0.0
2020-07-01,77.0,15.0,0.49863013698629993,,,,0.0,0.0,0.0,0.0
2020-07-02,77.0,15.0,0.5013698630136972,,,,0.0,0.0,0.012987012987012988,0.0
2020-07-03,77.0,15.0,0.5041095890410945,,,,0.0,0.0,0.0,0.0
2020-07-04,78.0,15.0,0.5068493150684917,,,,-0.01282051282051282,0.0,-0.01282051282051282,0.0
2020-07-05,78.0,15.0,0.509589041095889,,,,0.0,0.0,0.0,0.0
2020-07-06,78.0,15.0,0.5123287671232862,,,,0.0,0.0,0.0,0.0
2020-07-07,78.0,15.0,0.5150684931506835,,,,0.0,0.0,0.0,0.0
2020-07-08,78.0,15.0,0.5178082191780807,,,,0.0,0.0,0.0,0.0
2020-07-09,78.0,15.0,0.520547945205478,,,,0.01282051282051282,0.0,0.02564102564102564,0.0
2020-07-10,78.0,15.0,0.5232876712328752,,,,0.0,0.0,0.038461538461538464,0.0
2020-07-11,78.0,15.0,0.5260273972602725,,,,0.0,0.0,0.1282051282051282,0.0
2020-07-12,78.0,15.0,0.5287671232876697,,,,0.0,0.0,0.0,0.0
2020-07-13,78.0,15.0,0.531506849315067,,,,0.0,0.0,0.0,0.0
2020-07-14,78.0,15.0,0.5342465753424642,,,,0.0,0.0,0.2564102564102564,0.0
2020-07-15,78.0,15.0,0.5369863013698615,,,,0.0,0.0,0.01282051282051282,0.0
2020-07-16,79.0,15.0,0.5397260273972587,,,,0.012658227848101266,0.0,0.06329113924050632,0.0
2020-07-17,79.0,15.0,0.542465753424656,,,,0.0379746835443038,0.0,0.06329113924050632,0.0
2020-07-18,79.0,15.0,0.5452054794520532,,,,0.12658227848101267,0.0,0.02531645569620253,0.0
2020-07-19,79.0,15.0,0.5479452054794505,,,,0.0,0.0,0.0,0.0
2020-07-20,79.0,15.0,0.5506849315068477,,,,0.0,0.0,0.0,0.0
2020-07-21,79.0,15.0,0.553424657534245,,,,0.2531645569620253,0.0,0.2278481012658228,0.06666666666666668
2020-07-22,79.0,15.0,0.5561643835616422,,,,0.012658227848101266,0.0,0.05063291139240506,0.0
2020-07-23,81.0,15.0,0.5589041095890395,,,,0.04938271604938271,0.0,0.04938271604938271,0.0
2020-07-24,84.0,15.0,0.5616438356164367,,,,0.023809523809523808,0.0,0.011904761904761904,0.0
2020-07-25,94.0,15.0,0.564383561643834,,,,-0.0851063829787234,0.0,0.06382978723404255,0.0
2020-07-26,94.0,15.0,0.5671232876712312,,,,0.0,0.0,0.0,0.0
2020-07-27,94.0,15.0,0.5698630136986285,,,,0.0,0.0,0.0,0.0
2020-07-28,114.0,15.0,0.5726027397260257,,,,-0.017543859649122806,0.06666666666666668,-0.03508771929824561,0.06666666666666668
2020-07-29,115.0,15.0,0.575342465753423,,,,0.026086956521739132,0.0,-0.008695652173913044,0.0
2020-07-30,121.0,15.0,0.5780821917808202,,,,0.0,0.0,0.17355371900826447,0.0
2020-07-31,126.0,15.0,0.5808219178082175,,,,-0.007936507936507936,0.0,0.19047619047619047,0.0
2020-08-01,128.0,15.0,0.5835616438356147,,,,0.109375,0.0,0.1015625,0.0
2020-08-02,128.0,15.0,0.586301369863012,,,,0.0,0.0,0.0,0.0
2020-08-03,128.0,15.0,0.5890410958904092,,,,0.0,0.0,0.0,0.0
2020-08-04,146.0,16.0,0.5917808219178065,,,,-0.0136986301369863,0.0,0.2465753424657534,-0.0625
2020-08-05,150.0,16.0,0.5945205479452037,,,,-0.02666666666666667,0.0,0.03333333333333333,0.0
2020-08-06,156.0,16.0,0.597260273972601,,,,0.1346153846153846,0.0,0.00641025641025641,0.0
2020-08-07,160.0,16.0,0.5999999999999982,,,,0.15625,0.0,0.06875,0.0
2020-08-08,176.0,16.0,0.6027397260273955,,,,-0.005681818181818182,0.0,-0.0625,0.0
2020-08-09,176.0,16.0,0.6054794520547927,,,,0.0,0.0,0.0,0.0
2020-08-10,176.0,16.0,0.60821917808219,,,,0.0,0.0,0.0,0.0
2020-08-11,192.0,17.0,0.6109589041095872,,,,0.19791666666666666,-0.05882352941176471,0.140625,-0.05882352941176471
2020-08-12,192.0,17.0,0.6136986301369844,,,,0.046875,0.0,0.0625,0.0
2020-08-13,219.0,17.0,0.6164383561643817,,,,-0.09132420091324199,0.0,-0.0776255707762557,0.0
2020-08-14,248.0,17.0,0.619178082191779,,,,-0.05645161290322581,0.0,-0.020161290322580645,0.0
2020-08-15,263.0,17.0,0.6219178082191762,,,,-0.038022813688212934,0.0,-0.049429657794676805,0.0
2020-08-16,263.0,17.0,0.6246575342465734,,,,0.0,0.0,0.0,0.0
2020-08-17,263.0,17.0,0.6273972602739707,,,,0.0,0.0,0.0,0.0
2020-08-18,317.0,17.0,0.6301369863013679,,,,-0.03470031545741325,0.0,-0.11041009463722397,0.0
2020-08-19,326.0,17.0,0.6328767123287652,,,,0.009202453987730062,0.0,0.012269938650306749,0.0
2020-08-20,333.0,17.0,0.6356164383561624,,,,0.009009009009009007,0.0,-0.003003003003003003,0.1176470588235294
2020-08-21,348.0,17.0,0.6383561643835597,,,,0.02586206896551724,0.0,-0.005747126436781609,0.0
2020-08-22,353.0,17.0,0.6410958904109569,,,,-0.0084985835694051,0.0,0.0113314447592068,0.0
2020-08-23,353.0,17.0,0.6438356164383542,,,,0.0,0.0,0.0,0.0
2020-08-24,353.0,17.0,0.6465753424657514,,,,0.0,0.0,0.0,0.0
2020-08-25,396.0,17.0,0.6493150684931487,,,,-0.060606060606060615,0.0,-0.09090909090909093,0.0
2020-08-26,408.0,17.0,0.6520547945205459,,,,0.0024509803921568627,0.0,-0.01715686274509804,0.0
2020-08-27,418.0,17.0,0.6547945205479432,,,,-0.009569377990430622,0.1176470588235294,0.0023923444976076554,0.0
2020-08-28,442.0,17.0,0.6575342465753404,,,,-0.024886877828054297,0.0,-0.04751131221719457,0.0
2020-08-29,444.0,17.0,0.6602739726027377,,,,0.01576576576576576,0.0,-0.0045045045045045045,0.0
2020-08-30,444.0,17.0,0.6630136986301349,,,,0.0,0.0,0.0,0.0
2020-08-31,444.0,17.0,0.6657534246575322,,,,0.0,0.0,0.0,0.0
2020-09-01,463.0,17.0,0.6684931506849294,,,,-0.02591792656587473,0.0,0.0,0.0
2020-09-02,476.0,17.0,0.6712328767123267,,,,-0.01680672268907563,0.0,-0.0273109243697479,0.0
2020-09-03,482.0,19.0,0.6739726027397239,,,,0.010373443983402493,-0.10526315789473684,-0.012448132780082987,-0.10526315789473684
2020-09-04,495.0,19.0,0.6767123287671212,,,,-0.020202020202020204,0.0,-0.010101010101010102,0.0
2020-09-05,504.0,19.0,0.6794520547945184,,,,-0.017857142857142856,0.0,-0.001984126984126984,0.0
2020-09-06,504.0,19.0,0.6821917808219157,,,,0.0,0.0,0.0,0.0
2020-09-07,504.0,19.0,0.6849315068493129,,,,0.0,0.0,0.0,0.0
