date,cases,deaths,daily_tests,lowest_temperature,highest_temperature,days_since_last_holiday,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-01-08,4.0,0.0,,,,,,,0.0,0.0,1.0,1.0
2020-01-09,4.0,0.0,,,,,,,0.0,0.0,1.0,1.0
2020-01-10,4.0,0.0,,,,,,,1.0,1.0,1.0,1.0
2020-01-11,4.0,0.0,,,,,,,0.0,0.0,1.0,1.0
2020-01-12,45.0,1.0,,,,,,,0.7777777777777778,0.0,1.0,1.0
2020-01-13,45.0,1.0,,,,,,,1.0,1.0,1.0,1.0
2020-01-14,45.0,1.0,,,,,,,1.0,1.0,1.0,1.0
2020-01-15,45.0,1.0,,,,,,,1.0,1.0,1.0,1.0
2020-01-16,45.0,1.0,,,,,,,1.0,1.0,1.0,1.0
2020-01-17,49.0,2.0,,,,,,,1.0,1.0,1.0,1.0
2020-01-18,49.0,2.0,,,,,,,1.0,1.0,1.0,1.0
2020-01-19,125.0,3.0,,,,,,,1.0,1.0,1.0,1.0
2020-01-20,202.0,4.0,,,,,,,1.0,1.0,1.0,1.0
2020-01-21,295.0,6.0,,,,,,,1.0,1.0,1.0,1.0
2020-01-22,442.0,17.0,,,,,,,1.0,-0.5294117647058824,1.0,1.0
2020-01-23,574.0,18.0,,,,,,,1.0,1.0,1.0,1.0
2020-01-24,835.0,26.0,,,,,,,1.0,1.0,1.0,1.0
2020-01-25,1297.0,42.0,,,,,,,1.0,0.7142857142857143,1.0,1.0
2020-01-26,1985.0,56.0,,,,,,,0.9581863979848868,1.0,0.9899244332493704,1.0
2020-01-27,2761.0,82.0,,,,,,,0.7428467946396233,0.4634146341463415,0.7997102499094529,0.9878048780487804
2020-01-28,4533.0,131.0,,,,,,,0.32230311052283256,0.1297709923664122,0.15464372380322086,0.3893129770992366
2020-01-29,5997.0,133.0,,,,,,,0.4048691012172753,0.5263157894736842,0.09304652326163082,0.022556390977443608
2020-01-30,7736.0,171.0,,,,,,,0.2531023784901758,0.1871345029239766,1.0,1.0
2020-01-31,9720.0,213.0,,,,,,,0.12006172839506173,0.20187793427230047,0.2125514403292181,0.5164319248826291
2020-02-01,11821.0,259.0,,,,,,,0.1087894425175535,0.1583011583011583,0.045935200067676166,0.3706563706563705
2020-02-02,14411.0,361.0,,,,,,,0.004371660537089723,-0.00554016620498615,-0.040385816390257435,0.00554016620498615
2020-02-03,17238.0,425.0,,,,,,,0.009107785125884673,0.1011764705882353,-0.04501682329736628,0.08
2020-02-04,20471.0,491.0,,,,,,,-0.037125690000488494,0.06924643584521385,-0.06545845342191392,0.14867617107942974
2020-02-05,24363.0,563.0,,,,,,,-0.07675573615728769,-0.11900532859680285,-0.08792020687107499,0.07282415630550622
2020-02-06,28060.0,633.0,,,,,,,0.40823235923022094,0.28751974723538704,-0.11760513186029935,0.08214849921011058
2020-02-07,31211.0,718.0,,,,,,,0.028803947326263176,0.09331476323119778,-0.07234628816763321,-0.11838440111420613
2020-02-08,34598.0,805.0,,,,,,,-0.02147522978206833,0.06832298136645963,-0.07405052315162726,0.14658385093167706
2020-02-09,37251.0,905.0,,,,,,,-0.017314971410163485,0.004419889502762431,-0.053797213497624216,-0.10828729281767956
2020-02-10,40235.0,1012.0,,,,,,,-0.02318876599975146,-0.008893280632411068,-0.06869640859947806,0.042490118577075096
2020-02-11,42708.0,1112.0,,,,,,,-0.013580593799756485,0.03507194244604316,-0.04579938184883394,-0.02697841726618705
2020-02-12,44730.0,1117.0,,,,,,,-0.006080930024591996,0.09668755595344672,-0.03601609657947686,0.04207699194270367
2020-02-13,59882.0,1369.0,,,,,,,-0.2464012558030794,-0.09495982468955444,-0.2456831769145987,-0.16289262235208182
2020-02-14,63932.0,1521.0,,,,,,,-0.0493805918788713,-0.09993425378040764,-0.05820246511918914,-0.07100591715976333
2020-02-15,66576.0,1663.0,,,,,,,-0.027322158135063685,0.037883343355381835,-0.033255227108868066,-0.05712567648827421
2020-02-16,68584.0,1767.0,,,,,,,-0.01981511722850811,-0.057724957555178265,-0.02083576344336872,-0.03904923599320883
2020-02-17,70635.0,1865.0,,,,,,,-0.025921993346074892,0.027882037533512063,-0.026120195370567003,-0.030026809651474525
2020-02-18,72528.0,2004.0,,,,,,,-0.018971983234061327,-0.0344311377245509,-0.02433542907566733,-0.05289421157684631
2020-02-19,74278.0,2117.0,,,,,,,-0.01802687202132529,-0.028814359943316013,-0.021944586553218987,-0.036372224846480866
2020-02-20,74675.0,2239.0,,,,,,,0.0005758285905590894,-0.041536400178651185,-0.0034014060930699697,-0.0401965163019205
2020-02-21,75568.0,2239.0,,,,,,,-0.007463476603853483,0.01965163019205001,-0.009898369680287952,0.012952210808396605
2020-02-22,76393.0,2444.0,,,,,,,-0.005170630816959669,-0.06464811783960721,-0.00945112772112628,-0.07242225859247135
2020-02-23,77042.0,2446.0,,,,,,,-0.0009085953116481918,0.013491414554374493,-0.007826899613197996,0.01062959934587081
2020-02-24,77262.0,2596.0,,,,,,,-0.00018120162563744143,-0.041602465331278884,-0.002265020320468018,-0.04892141756548536
2020-02-25,77779.0,2666.0,,,,,,,-0.0050013499787860466,-0.01387846961740435,-0.006389899587292199,-0.020255063765941484
2020-02-26,78190.0,2718.0,,,,,,,-0.0037217035426525135,-0.005886681383370125,-0.0048599565161785395,-0.011037527593818984
2020-02-27,78630.0,2747.0,,,,,,,-0.003777184280808852,0.0010921004732435383,-0.005277883759379372,-0.006552602839461232
2020-02-28,78959.0,2791.0,,,,,,,-0.0023303233323623647,-0.0053744177714080965,-0.004027406628756697,-0.012898602651379432
2020-02-29,79389.0,2838.0,,,,,,,-0.004118958545894267,-0.0066948555320648345,-0.005038481401705526,-0.011980267794221282
2020-03-01,79968.0,2873.0,,,,,,,-0.006665166066426571,-0.002436477549599721,-0.0069027611044417785,-0.00870170553428472
