date,cases,deaths,time_of_year,daily_tests,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-07-31,174010.0,3694.0,0.5808219178082175,,,,-0.010378713867019137,0.002977801840822956,-0.013131429228205276,-0.007579859231185706
2020-08-01,177002.0,3747.0,0.5835616438356147,,,,-0.010949028824533056,0.0008006405124099278,-0.011632636919356844,0.004270082732852949
2020-08-02,178467.0,3765.0,0.586301369863012,,,,-0.003636526640779528,-0.0013280212483399733,-0.003261107095429407,-0.0010624169986719787
2020-08-03,179497.0,3779.0,0.5890410958904092,,,,-0.002395583213089912,-0.0026462026991267533,-0.0031309715482710017,-0.0037046837787774547
2020-08-04,180505.0,3845.0,0.5917808219178065,,,,0.0011412426248580373,-0.005461638491547465,-0.0005152211850087255,-0.01118335500650195
2020-08-05,182203.0,3932.0,0.5945205479452037,,,,-0.005444476764927032,0.015513733468972531,-0.005823175249584255,0.004577822990844354
2020-08-06,183647.0,4002.0,0.597260273972601,,,,-0.0005064063121096451,-0.00849575212393803,-0.003926010226140368,-0.004997501249375314
2020-08-07,185053.0,4081.0,0.5999999999999982,,,,-0.002588447633921093,-0.009556481254594462,-0.004252835674104175,-0.018377848566527813
2020-08-08,186107.0,4137.0,0.6027397260273955,,,,-0.0006501636155544927,0.0031423737007493352,-0.00031164867522446763,0.002900652646845541
2020-08-09,186923.0,4150.0,0.6054794520547927,,,,0.00035843636149644504,0.00024096385542168682,-0.0032526762356692327,0.0004819277108433735
2020-08-10,187523.0,4154.0,0.60821917808219,,,,-0.0007039136532585338,-0.0009629272989889263,-0.0015411442863008805,-0.0009629272989889263
2020-08-11,188737.0,4199.0,0.6109589041095872,,,,-0.0015842150717665323,-0.00523934270064301,-0.0018809242490873547,-0.0057156465825196475
2020-08-12,189443.0,4347.0,0.6136986301369844,,,,-0.00036422565098736815,-0.00989187945709685,-0.002744888963962775,-0.010121923165401428
2020-08-13,190794.0,4383.0,0.6164383561643817,,,,-0.003291508118703943,0.0031941592516541184,-0.003516882082245773,-0.0006844626967830253
2020-08-14,191721.0,4423.0,0.619178082191779,,,,-0.0016065011135973624,-0.008139271987338909,-0.002128092384245857,0.002034817996834728
2020-08-15,192654.0,4492.0,0.6219178082191762,,,,0.0003270111183780249,-0.00022261798753339267,-0.0015779584124907865,-0.008904719501335706
2020-08-16,193537.0,4506.0,0.6246575342465734,,,,-0.003487705193322207,0.00022192632046160674,-0.002629988064297783,0.0019973368841544607
2020-08-17,194005.0,4506.0,0.6273972602739707,,,,-0.000809257493363573,0.0,-0.0015154248601840158,-0.00022192632046160674
2020-08-18,194920.0,4529.0,0.6301369863013679,,,,-0.0002872973527601067,-0.00044159858688452196,-0.002093166427252206,-0.0017663943475380878
2020-08-19,195557.0,4634.0,0.6328767123287652,,,,-0.002306232965324688,-0.0002157962883038412,-0.0006034046339430447,-0.01812688821752266
2020-08-20,196280.0,4684.0,0.6356164383561624,,,,-0.0002190747911147341,-0.003629376601195559,0.0018799673935194624,0.0032023911187019642
2020-08-21,196899.0,4688.0,0.6383561643835597,,,,-0.0005078745956048534,0.009598976109215021,0.0005535833092092902,0.007892491467576791
2020-08-22,197895.0,4756.0,0.6410958904109569,,,,-0.0018545188104803047,-0.008200168208578638,-0.0008135627479218777,-0.00672834314550042
2020-08-23,198103.0,4771.0,0.6438356164383542,,,,0.0008379479361746163,0.0016767973171242926,0.00021201092361044507,-0.00020959966464053647
